CIBR: First Trust NASDAQ CEA Cybersecurity ETF
Inception Date: 2015-07-06
Fund Holdings as of: 2021-02-25
Total Assets Under Management (in thousands):	3500380
Shares Outstanding: 80500000
Expense Ratio: 0.6%
Tracks This Index: Nasdaq CTA Cybersecurity Index
ETFdb.com Category: Technology Equities
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/CIBR


Holding,Symbol,Weighting
"CrowdStrike Holdings, Inc. Class A",CRWD,7.53%
"Zscaler, Inc.",ZS,6.96%
"Cisco Systems, Inc.",CSCO,5.86%
Accenture Plc Class A,ACN,5.64%
Splunk Inc.,SPLK,3.93%
"Fortinet, Inc.",FTNT,3.77%
"FireEye, Inc.",FEYE,3.46%
"Palo Alto Networks, Inc.",PANW,3.39%
"SailPoint Technologies Holdings, Inc.",SAIL,3.36%
"Proofpoint, Inc.",PFPT,3.32%
"F5 Networks, Inc.",FFIV,3.23%
"Juniper Networks, Inc.",JNPR,3.0%
CyberArk Software Ltd.,CYBR,2.93%
"Okta, Inc. Class A",OKTA,2.89%
BAE Systems plc,BA,2.87%
"Varonis Systems, Inc.",VRNS,2.86%
"VMware, Inc. Class A",VMW,2.84%
Cloudflare Inc Class A,NET,2.64%
Check Point Software Technologies Ltd.,CHKP,2.62%
"VeriSign, Inc.",VRSN,2.62%
"Akamai Technologies, Inc.",AKAM,2.55%
Booz Allen Hamilton Holding Corporation Class A,BAH,2.49%
"Leidos Holdings, Inc.",LDOS,2.45%
"Tenable Holdings, Inc.",TENB,2.02%
"Qualys, Inc.",QLYS,1.99%
Rapid7 Inc.,RPD,1.93%
Thales SA,HO,1.91%
Trend Micro Incorporated,4704,1.79%
Science Applications International Corp.,SAIC,1.79%
Mimecast Limited,MIME,1.31%
Avast Plc,AVST,0.86%
ManTech International Corporation Class A,MANT,0.66%
"AhnLab, Inc.",053800,0.57%
OneSpan Inc.,OSPN,0.49%
"A10 Networks, Inc.",ATEN,0.35%
Radware Ltd.,RDWR,0.28%
Zix Corporation,ZIXI,0.27%
Ultra Electronics Holdings plc,ULE,0.22%
Tufin Software Technologies Ltd,TUFN,0.18%
"Ribbon Communications, Inc.",RBBN,0.12%
U.S. Dollar,Other,0.05%
