DGRW: WisdomTree U.S. Dividend Growth Fund
Inception Date: 2013-05-22
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	4432345
Shares Outstanding: 90100000
Expense Ratio: 0.28%
Tracks This Index: WisdomTree U.S. Dividend Growth Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: WisdomTree
Structure: ETF
ETF Home Page: https://etfdb.com/etf/DGRW


Holding,Symbol,Weighting
Apple Inc,AAPL,6.8741%
Microsoft Corp,MSFT,5.5614%
Verizon Communications Inc,VZ,5.3443%
Procter & Gamble Co,PG,4.4253%
Merck & Co Inc,MRK,3.1033%
PepsiCo Inc,PEP,2.8774%
Altria Group Inc,MO,2.6091%
UnitedHealth Group Inc,UNH,2.3618%
Comcast Corp,CMCSA,2.1995%
Bristol-Myers Squibb Co,BMY,2.1503%
United Parcel Service Inc,UPS,2.0757%
Intel Corp,INTC,1.9917%
Amgen Inc,AMGN,1.9685%
3M Co,MMM,1.7023%
Gilead Sciences Inc,GILD,1.6385%
Union Pacific Corp,UNP,1.6278%
Eli Lilly and Co,LLY,1.6174%
Nextera Energy Inc,NEE,1.5884%
Qualcomm Inc,QCOM,1.5605%
Texas Instruments Inc,TXN,1.5417%
Oracle Corp,ORCL,1.4096%
Honeywell International Inc,HON,1.2975%
Lowe's Companies Inc,LOW,1.2666%
Caterpillar Inc,CAT,1.2585%
Visa Inc,V,0.9162%
Target Corp,TGT,0.8933%
Raytheon Technologies Corp,RTX,0.8922%
Nike Inc,NKE,0.8527%
Illinois Tool Works Inc,ITW,0.8102%
General Mills Inc,GIS,0.7447%
Costco Wholesale Corp,COST,0.7445%
Mastercard Inc,MA,0.7382%
Air Products and Chemicals Inc,APD,0.7049%
Blackstone Group Inc,BX,0.6922%
Deere & Co,DE,0.6624%
Norfolk Southern Corp,NSC,0.6054%
American Express Co,AXP,0.6041%
FedEx Corp,FDX,0.5668%
Emerson Electric Co,EMR,0.5643%
Automatic Data Processing Inc,ADP,0.5256%
Marsh & McLennan Companies Inc,MMC,0.524%
Cummins Inc,CMI,0.5107%
General Dynamics Corp,GD,0.5013%
Waste Management Inc,WM,0.4749%
CME Group Inc,CME,0.4728%
Stryker Corp,SYK,0.4661%
Northrop Grumman Corp,NOC,0.4629%
CSX Corp,CSX,0.4354%
Keurig Dr Pepper Inc,KDP,0.431%
Anthem Inc,ANTM,0.4014%
T. Rowe Price Group Inc,TROW,0.3991%
Clorox Co,CLX,0.3935%
S&P Global Inc,SPGI,0.3919%
NVIDIA Corp,NVDA,0.3871%
Marathon Petroleum Corp,MPC,0.3793%
Danaher Corp,DHR,0.3775%
Fidelity National Information Services Inc,FIS,0.3751%
eBay Inc,EBAY,0.3746%
Valero Energy Corp,VLO,0.3706%
Best Buy Co Inc,BBY,0.367%
Sysco Corp,SYY,0.3606%
Travelers Companies Inc,TRV,0.3582%
Paychex Inc,PAYX,0.3347%
Fastenal Co,FAST,0.3336%
Kroger Co,KR,0.3309%
Lam Research Corp,LRCX,0.3295%
Analog Devices Inc,ADI,0.3177%
