DIA: SPDR Dow Jones Industrial Average ETF
Inception Date: 1998-01-14
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	22816486
Shares Outstanding: 83142000
Expense Ratio: 0.16%
Tracks This Index: Dow Jones Industrial Average
ETFdb.com Category: Large Cap Growth Equities
Issuer: State Street SPDR
Structure: UIT
ETF Home Page: https://etfdb.com/etf/DIA


Holding,Symbol,Weighting
UnitedHealth Group Inc,UNH,7.2905%
Home Depot Inc,HD,6.5225%
Amgen Inc,AMGN,5.9518%
Salesforce.Com Inc,CRM,5.9314%
Mcdonald's Corp,MCD,5.2418%
Microsoft Corp,MSFT,4.968%
Visa Inc,V,4.7806%
Goldman Sachs Group Inc,GS,4.7171%
Honeywell International Inc,HON,3.9433%
Boeing Co,BA,3.9215%
3M Co,MMM,3.8307%
Caterpillar Inc,CAT,3.5334%
Johnson & Johnson,JNJ,3.525%
Procter & Gamble Co,PG,3.2901%
Walmart Inc,WMT,3.2873%
Nike Inc,NKE,3.0286%
Walt Disney Co,DIS,3.0059%
International Business Machines Corp,IBM,2.8989%
Apple Inc,AAPL,2.7348%
Travelers Companies Inc,TRV,2.5753%
American Express Co,AXP,2.3431%
JPMorgan Chase & Co,JPM,2.2856%
Merck & Co Inc,MRK,1.9632%
Chevron Corp,CVX,1.7235%
Verizon Communications Inc,VZ,1.42%
Intel Corp,INTC,1.227%
Coca-Cola Co,KO,1.1726%
Dow Inc,DOW,1.1163%
Cisco Systems Inc,CSCO,0.9363%
Walgreens Boots Alliance Inc,WBA,0.8481%
Cash Component,CASH,-0.0141%
