DIM: WisdomTree International MidCap Dividend
Inception Date: 2006-06-16
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	151884
Shares Outstanding: 2700000
Expense Ratio: 0.58%
Tracks This Index: WisdomTree International MidCap Dividend Index
ETFdb.com Category: Foreign Large Cap Equities
Issuer: WisdomTree
Structure: ETF
ETF Home Page: https://etfdb.com/etf/DIM


Holding,Symbol,Weighting
Cash Component,CASH,1.7132%
SSE PLC,SSE,1.2127%
Persimmon PLC,PSN,1.0722%
Danske Bank A/S,DANSKE,0.8252%
EDP Energias de Portugal SA,EDP,0.795%
UPM-Kymmene Oyj,UPM,0.7817%
Telefonica Deutschland Holding AG,O2D,0.7237%
NN Group NV,NN,0.6184%
Ems Chemie Holding AG,EMSN,0.6138%
Japan Exchange Group Inc,8697,0.6038%
EVRAZ plc,EVR,0.5922%
Pandora A/S,PNDORA,0.5605%
Power Assets Holdings Ltd,6,0.5576%
Admiral Group PLC,ADM,0.5336%
Standard Life Aberdeen PLC,SLA,0.5225%
Sekisui House Ltd,1928,0.5141%
Evonik Industries AG,EVK,0.5086%
Fujitsu Ltd,6702,0.4933%
Covestro AG,1COV,0.4834%
Terna Rete Elettrica Nazionale SpA,TRN,0.4762%
Suez SA,SEV,0.4717%
Ono Pharmaceutical Co Ltd,4528,0.4523%
Hang Lung Properties Ltd,101,0.4469%
Stora Enso Oyj,STERV,0.4434%
Poste Italiane SpA,PST,0.4424%
Veolia Environnement SA,VIE,0.4417%
Antofagasta PLC,ANTO,0.4381%
Nomura Research Institute Ltd,4307,0.4297%
UnipolSai Assicurazioni SpA,US,0.4232%
Red Electrica Corporacion SA,REE,0.4207%
Marubeni Corp,8002,0.4192%
Mitsubishi Chemical Holdings Corp,4188,0.3999%
Oracle Corp Japan,4716,0.3951%
China Resources Power Holdings Co Ltd,836,0.3942%
Elisa Oyj,ELISA,0.391%
TDK Corp,6762,0.3884%
Mowi ASA,MOWI,0.3819%
Koninklijke KPN NV,KPN,0.3792%
Nippon Paint Holdings Co Ltd,4612,0.3773%
Sompo Holdings Inc,8630,0.377%
STMicroelectronics NV,STM,0.3714%
Swedish Match AB,SWMA,0.3708%
Gjensidige Forsikring ASA,GJF,0.3663%
Daifuku Co Ltd,6383,0.3568%
Ageas SA,AGS,0.3567%
Resona Holdings Inc,8308,0.353%
Spark New Zealand Ltd,SPK,0.3518%
Advantest Corp,6857,0.3457%
AGL Energy Ltd,AGL,0.3423%
Nissin Foods Holdings Co Ltd,2897,0.3396%
Meridian Energy Ltd,MEL,0.3387%
Guangdong Investment Ltd,270,0.3377%
Solvay SA,SOLB,0.3372%
Uniper SE,UN01,0.3361%
Aisin Seiki Co Ltd,7259,0.3359%
Sino Land Co Ltd,83,0.3337%
United Utilities Group PLC,UU.,0.3334%
Phoenix Group Holdings PLC,PHNX,0.332%
Singapore Exchange Ltd,S68,0.3318%
Orkla ASA,ORK,0.3305%
Valeo SA,FR,0.3293%
Suncorp Group Ltd,SUN,0.3288%
South32 Ltd,S32,0.3274%
CNP Assurances SA,CNP,0.3271%
APA Group,APA,0.3236%
HeidelbergCement AG,HEI,0.3233%
Fosun International Ltd,656,0.3227%
Mediobanca Banca di Credito Finanziario SpA,MB,0.3215%
Lenovo Group Ltd,992,0.3183%
Proximus NV,PROX,0.3173%
Asahi Kasei Corp,3407,0.3157%
Julius Baer Gruppe AG,BAER,0.314%
Kansai Electric Power Co Inc,9503,0.3134%
Adecco Group AG,ADEN,0.3133%
SEGRO PLC,SGRO,0.3131%
Daito Trust Construction Co Ltd,1878,0.3114%
Banca Mediolanum SpA,BMED,0.3113%
Aker BP ASA,AKERBP,0.3102%
Sonic Healthcare Ltd,SHL,0.3098%
Brenntag AG,BNR,0.3089%
Sinotruk Hong Kong Ltd,3808,0.3087%
Toyota Tsusho Corp,8015,0.3072%
Kesko Oyj,KESKOB,0.3034%
Alumina Ltd,AWC,0.3001%
Sunrise Communications Group AG,SRCG,0.2993%
Ashtead Group PLC,AHT,0.299%
ICA Gruppen AB,ICA,0.2965%
Galp Energia SGPS SA,GALP,0.2964%
Severn Trent PLC,SVT,0.295%
Kyowa Kirin Co Ltd,4151,0.2941%
Enagas SA,ENG,0.2925%
Sumitomo Mitsui Trust Holdings Inc,8309,0.2924%
Tryg A/S,TRYG,0.2919%
ASX Ltd,ASX,0.2914%
Japan Post Insurance Co Ltd,7181,0.2912%
AB Skf,SKF.B,0.2891%
QBE Insurance Group Ltd,QBE,0.2877%
Haseko Corp,1808,0.2865%
Sumitomo Electric Industries Ltd,5802,0.285%
LIXIL Group Corp,5938,0.2845%
DWS Group GmbH & Co KgaA,DWS,0.2825%
Talanx AG,TLX,0.2819%
Daiwa Securities Group Inc,8601,0.2794%
Omron Corp,6645,0.2784%
Meiji Holdings Co Ltd,2269,0.2764%
Boliden AB,BOL,0.2755%
Fresnillo PLC,FRES,0.2742%
China Jinmao Holdings Group Ltd,817,0.274%
CSPC Pharmaceutical Group Ltd,1093,0.2728%
LEG Immobilien AG,LEG,0.2727%
Recordati Industria Chimica e Farmaceutica SpA,REC,0.2718%
Rohm Co Ltd,6963,0.271%
Insurance Australia Group Ltd,IAG,0.2704%
Nomura Holdings Inc,8604,0.2698%
J Sainsbury PLC,SBRY,0.269%
Suntory Beverage & Food Ltd,2587,0.269%
Aurizon Holdings Ltd,AZJ,0.2678%
Schroders PLC,SDR,0.2673%
Publicis Groupe SA,PUB,0.2669%
Chubu Electric Power Co Inc,9502,0.2644%
Mondi PLC,MNDI,0.2634%
Pennon Group PLC,PNN,0.2631%
Merck KGaA,MRK,0.2621%
Bandai Namco Holdings Inc,7832,0.2619%
Singapore Technologies Engineering Ltd,S63,0.2589%
St. James's Place PLC,STJ,0.2582%
Investment AB Latour,LATO.B,0.2571%
Hitachi Construction Machinery Co Ltd,6305,0.2555%
Brambles Ltd,BXB,0.2535%
SJM Holdings Ltd,880,0.2511%
Tokyo Gas Co Ltd,9531,0.2465%
Euronext NV,ENX,0.246%
Taisei Corp,1801,0.2455%
Teleperformance SE,TEP,0.2433%
ACS Actividades de Construccion y Servicios SA,ACS,0.2408%
Tele2 AB,TEL2.B,0.2407%
Magellan Financial Group Ltd,MFG,0.2395%
H Lundbeck A/S,LUN,0.2361%
Nitto Denko Corp,6988,0.236%
Capitaland Ltd,C31,0.2356%
Sekisui Chemical Co Ltd,4204,0.2336%
Arkema SA,AKE,0.2311%
Klepierre SA,LI,0.2293%
Techtronic Industries Co Ltd,669,0.2292%
Jeronimo Martins SGPS SA,JMT,0.228%
Novozymes A/S,NZYM.B,0.2279%
Fisher & Paykel Healthcare Corporation Ltd,FPH,0.2273%
voestalpine AG,VOE,0.2256%
Intertek Group PLC,ITRK,0.2254%
Kion Group AG,KGX,0.2249%
Mapfre SA,MAP,0.2239%
Sumitomo Metal Mining Co Ltd,5713,0.2237%
Dai Nippon Printing Co Ltd,7912,0.2219%
Iida Group Holdings Co Ltd,3291,0.2215%
Logitech International SA,LOGN,0.2212%
GEA Group AG,G1A,0.2209%
Genting Singapore Ltd,G13,0.2208%
Ajinomoto Co Inc,2802,0.2203%
Coca-Cola Amatil Ltd,CCL,0.2197%
Shimizu Corp,1803,0.2182%
Trend Micro Inc,4704,0.2169%
Aristocrat Leisure Ltd,ALL,0.2167%
Orion Oyj,ORNBV,0.2166%
T&D Holdings Inc,8795,0.2165%
Dentsu Group Inc,4324,0.2155%
AGC Inc,5201,0.2142%
SIG Combibloc Group AG,SIGN,0.2135%
Ramsay Health Care Ltd,RHC,0.2131%
Bank Leumi Le Israel BM,LUMI,0.2131%
Edenred SA,EDEN,0.2121%
Yamaha Motor Co Ltd,7272,0.2113%
Nippon Express Co Ltd,9062,0.2112%
Sun Art Retail Group Ltd,6808,0.211%
Osaka Gas Co Ltd,9532,0.2098%
Hochtief AG,HOT,0.2097%
Wharf Holdings Ltd,4,0.2093%
AusNet Services Ltd,AST,0.2088%
Axfood AB,AXFO,0.2087%
Sumitomo Chemical Co Ltd,4005,0.2069%
Swatch Group AG,UHR,0.2067%
Koninklijke Vopak NV,VPK,0.2061%
Baloise Holding AG,BALN,0.2045%
Tabcorp Holdings Ltd,TAH,0.2035%
Crown Resorts Ltd,CWN,0.203%
Scor SE,SCR,0.2029%
Symrise AG,SY1,0.2024%
Mitsubishi Gas Chemical Co Inc,4182,0.2023%
Sage Group PLC,SGE,0.2009%
Keppel Corporation Ltd,BN4,0.2009%
Sumco Corp,3436,0.2008%
Bankia SA,BKIA,0.1997%
Obayashi Corp,1802,0.1995%
Tokyo Century Corp,8439,0.1994%
Sonova Holding AG,SOON,0.1982%
VAT Group AG,VACN,0.1981%
Inpex Corp,1605,0.1947%
Warehouses de Pauw NV,WDP,0.1941%
Epiroc AB,EPI.A,0.1939%
Icade SA,ICAD,0.1934%
Yamato Holdings Co Ltd,9064,0.193%
Nissan Chemical Corp,4021,0.1923%
Koito Manufacturing Co Ltd,7276,0.1917%
ASR Nederland NV,ASRNL,0.1916%
Isuzu Motors Ltd,7202,0.1905%
Nokian Tyres plc,TYRES,0.1897%
SG Holdings Co Ltd,9143,0.1893%
Banca Generali SpA,BGN,0.1889%
BAWAG Group AG,BG,0.1889%
Prysmian SpA,PRY,0.1888%
Otsuka Corp,4768,0.1886%
Italgas SpA,IG,0.1859%
ABC-Mart Inc,2670,0.1859%
Sartorius Stedim Biotech SA,DIM,0.1853%
SBI Holdings Inc,8473,0.1852%
Bank of East Asia Ltd,23,0.1851%
Ampol Ltd,ALD,0.1838%
Tohoku Electric Power Co Inc,9506,0.1811%
Concordia Financial Group Ltd,7186,0.1808%
Hargreaves Lansdown PLC,HL.,0.1805%
Covivio SA,COV,0.1799%
Chugoku Electric Power Co Inc,9504,0.1789%
Mercury NZ Ltd,MCY,0.1785%
Clariant AG,CLN,0.1779%
Tosoh Corp,4042,0.1777%
Infrastrutture Wireless Italiane SpA,INW,0.1769%
Faurecia SE,EO,0.1764%
Mitsui Chemicals Inc,4183,0.1763%
Kajima Corp,1812,0.1751%
Acciona SA,ANA,0.175%
Casio Computer Co Ltd,6952,0.1745%
Makita Corp,6586,0.1745%
A2A SpA,A2A,0.1733%
Amada Co Ltd,6113,0.1727%
Lawson Inc,2651,0.1708%
Yamaha Corp,7951,0.1705%
Holmen AB,HOLM.B,0.1703%
JSR Corp,4185,0.1702%
Medibank Private Ltd,MPL,0.1698%
Boral Ltd,BLD,0.1697%
Qantas Airways Ltd,QAN,0.1695%
Burberry Group PLC,BRBY,0.1694%
NSK Ltd,6471,0.1691%
Singapore Airlines Ltd,C6L,0.1687%
Castellum AB,CAST,0.1681%
TOTO Ltd,5332,0.1676%
Hulic Co Ltd,3003,0.1676%
Seiko Epson Corp,6724,0.1673%
Elia Group SA,ELI,0.1667%
Hera SpA,HER,0.166%
Wacker Chemie AG,WCH,0.1658%
Evolution Gaming Group AB (publ),EVO,0.165%
Hitachi Metals Ltd,5486,0.1649%
Mitsubishi Heavy Industries Ltd,7011,0.1639%
Croda International PLC,CRDA,0.1629%
Icl Group Ltd,ICL,0.1628%
BYD Electronic International Co Ltd,285,0.1627%
Chiba Bank Ltd,8331,0.1622%
Topdanmark A/S,TOP,0.162%
Bellway PLC,BWY,0.1619%
NH Foods Ltd,2282,0.1612%
Alfresa Holdings Corp,2784,0.1601%
Acea SpA,ACE,0.1595%
Bankinter SA,BKT,0.1587%
WM Morrison Supermarkets PLC,MRW,0.1586%
Pigeon Corp,7956,0.1584%
Spirax-Sarco Engineering PLC,SPX,0.1578%
NGK Insulators Ltd,5333,0.1568%
Trelleborg AB,TREL.B,0.156%
Etablissementen Franz Colruyt NV,COLR,0.1558%
Kintetsu Group Holdings Co Ltd,9041,0.1547%
Scout24 AG,G24,0.1543%
Cochlear Ltd,COH,0.154%
Idemitsu Kosan Co Ltd,5019,0.154%
Lundin Energy AB,LUNE,0.1532%
Konami Holdings Corp,9766,0.1522%
Venture Corporation Ltd,V03,0.1515%
DKSH Holding AG,DKSH,0.1511%
Andritz AG,ANDR,0.1506%
Royal Unibrew A/S,RBREW,0.149%
REA Group Ltd,REA,0.1488%
Remy Cointreau SA,RCO,0.1483%
Toho Co Ltd (Tokyo),9602,0.1481%
Newcrest Mining Ltd,NCM,0.148%
Santen Pharmaceutical Co Ltd,4536,0.1479%
Santos Ltd,STO,0.1478%
Hikma Pharmaceuticals PLC,HIK,0.1472%
Tate & Lyle PLC,TATE,0.147%
Eutelsat Communications SA,ETL,0.147%
Yara International ASA,YAR,0.1461%
DCC PLC,DCC,0.1458%
Medipal Holdings Corp,7459,0.1454%
Yamada Denki Co Ltd,9831,0.1453%
ASM International NV,ASM,0.1447%
Informa PLC,INF,0.1445%
Metro AG,B4B,0.1433%
ERG SpA,ERG,0.1428%
Seek Ltd,SEK,0.1424%
Swatch Group AG,UHRN,0.1418%
Tokyu Corp,9005,0.1415%
Jardine Cycle & Carriage Ltd,C07,0.1413%
Telekom Austria AG,TKA,0.1412%
Avast PLC,AVST,0.1402%
BKW AG,BKW,0.1398%
Suedzucker AG,SZU,0.1394%
Itochu Techno-Solutions Corp,4739,0.1385%
Yaskawa Electric Corp,6506,0.1379%
Nomura Real Estate Holdings Inc,3231,0.1377%
Coca Cola HBC AG,CCH,0.1375%
Minebea Mitsumi Inc,6479,0.1365%
Easyjet PLC,EZJ,0.1365%
