EEM: iShares MSCI Emerging Markets ETF
Inception Date: 2003-04-11
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	23336744
Shares Outstanding: 539100000
Expense Ratio: 0.68%
Tracks This Index: MSCI Emerging Markets Index
ETFdb.com Category: Emerging Markets Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/EEM


Holding,Symbol,Weighting
Alibaba Group Holding Ltd,BABA,8.1648%
Tencent Holdings Ltd,700,5.8714%
Taiwan Semiconductor Manufacturing Co Ltd,2330,5.7456%
Samsung Electronics Co Ltd,005930,3.732%
Meituan Dianping,3690,1.6959%
Reliance Industries Ltd,RIL,1.364%
Cash Component,CASH,1.2103%
Naspers Ltd,NPN,1.1961%
JD.Com Inc,JD,1.0041%
China Construction Bank Corp,939,0.9724%
Ping An Insurance Group Co of China Ltd,2318,0.9602%
Infosys Ltd,INFO,0.7319%
SK Hynix Inc,000660,0.6178%
China Mobile Ltd,941,0.6073%
Vale SA,VALE3,0.601%
Housing Development Finance Corporation Ltd,HDFC,0.5997%
NetEase Inc,NTES,0.582%
Samsung Electronics Co Ltd,005935,0.5604%
Baidu Inc,BIDU,0.5258%
Hon Hai Precision Industry Co Ltd,2317,0.5181%
MediaTek Inc,2454,0.5%
Naver Corp,035420,0.4951%
Industrial and Commercial Bank of China Ltd,1398,0.4833%
Sberbank Rossii PAO,SBER,0.4799%
Tata Consultancy Services Ltd,TCS,0.4755%
TAL Education Group,TAL,0.4473%
Xiaomi Corp,1810,0.4284%
LG Chem Ltd,051910,0.4035%
ICICI Bank Ltd,ICICIBANK,0.3891%
Bank of China Ltd,3988,0.3768%
Gazprom PAO,GAZP,0.3755%
NK Lukoil PAO,LKOH,0.3746%
WuXi Biologics (Cayman) Inc,2269,0.3743%
Hyundai Motor Co,005380,0.3565%
Hindustan Unilever Ltd,HUVR,0.3561%
Qatar National Bank QPSC,QNBK,0.3508%
NIO Inc,NIO,0.3497%
Al Rajhi Banking & Investment Corporation SJSC,1120,0.3396%
Saudi Basic Industries Corporation SJSC,2010,0.3362%
New Oriental Education & Technology Group Inc,EDU,0.3322%
Celltrion Inc,068270,0.3283%
America Movil SAB de CV,AMXL,0.3246%
Samsung SDI Co Ltd,006400,0.322%
Yum China Holdings Inc,YUMC,0.3217%
Saudi Arabian Oil Co,2222,0.3174%
Pinduoduo Inc,PDD,0.3126%
B3 SA Brasil Bolsa Balcao,B3SA3,0.3096%
Itau Unibanco Holding SA,ITUB4,0.3001%
Yandex NV,YNDX,0.2953%
Kweichow Moutai Co Ltd,600519,0.2919%
Bank Central Asia Tbk PT,BBCA,0.2881%
China Merchants Bank Co Ltd,3968,0.2823%
Kakao Corp,035720,0.2773%
CNOOC Ltd,883,0.2705%
China Life Insurance Co Ltd,2628,0.2598%
Saudi Telecom Company SJSC,7010,0.2553%
Petroleo Brasileiro SA Petrobras,PETR4,0.2518%
GMK Noril'skiy Nikel' PAO,GMKN,0.2362%
Banco Bradesco SA,BBDC4,0.2343%
Trip.com Group Ltd,TCOM,0.233%
National Commercial Bank SJSC,1180,0.2309%
Chunghwa Telecom Co Ltd,2412,0.2165%
Shenzhou International Group Holdings Ltd,2313,0.215%
China Resources Land Ltd,1109,0.2147%
Petroleo Brasileiro SA Petrobras,PETR3,0.2091%
Hyundai Mobis Co Ltd,012330,0.2067%
Axis Bank Ltd,AXSB,0.2063%
KB Financial Group Inc,105560,0.2%
China Mengniu Dairy Co Ltd,2319,0.1997%
Delta Electronics Inc,2308,0.1953%
Posco,005490,0.1945%
Novatek PAO,NVTK,0.1943%
Wal Mart de Mexico SAB de CV,WALMEX*,0.1918%
PTT PCL,PTT-R,0.1899%
HCL Technologies Ltd,HCLT,0.1881%
FirstRand Ltd,FSR,0.1843%
LARGAN Precision Co Ltd,3008,0.1833%
LG Household & Healthcare Ltd,051900,0.1826%
Magazine Luiza SA,MGLU3,0.1821%
Geely Automobile Holdings Ltd,175,0.181%
NCSOFT Corp,036570,0.1804%
Sino Biopharmaceutical Ltd,1177,0.1794%
Bank Rakyat Indonesia (Persero) Tbk PT,BBRI,0.1785%
CP All PCL,CPALL-R,0.176%
ZTO Express (Cayman) Inc,ZTO,0.1756%
AngloGold Ashanti Ltd,ANG,0.1742%
CTBC Financial Holding Co Ltd,2891,0.1733%
ANTA Sports Products Ltd,2020,0.1733%
Gold Fields Ltd,GFI,0.1728%
Public Bank Bhd,PBBANK,0.1728%
CSPC Pharmaceutical Group Ltd,1093,0.1714%
Maruti Suzuki India Ltd,MSIL,0.1708%
Shinhan Financial Group Co Ltd,055550,0.1702%
Sunny Optical Technology Group Co Ltd,2382,0.17%
Nan Ya Plastics Corp,1303,0.1686%
Fomento Economico Mexicano SAB de CV,FEMSAUBD,0.1679%
United Microelectronics Corp,2303,0.1667%
Kia Motors Corp,000270,0.1658%
Formosa Plastics Corp,1301,0.1651%
Cathay Financial Holding Co Ltd,2882,0.1643%
Uni-President Enterprises Corp,1216,0.1628%
Mega Financial Holding Co Ltd,2886,0.1616%
Ambev SA,ABEV3,0.1602%
E.SUN Financial Holding Co Ltd,2884,0.1592%
Longfor Group Holdings Ltd,960,0.1585%
Sunac China Holdings Ltd,1918,0.1552%
Samsung Biologics Co Ltd,207940,0.1548%
WEG SA,WEGE3,0.1535%
China Petroleum & Chemical Corp,386,0.1509%
Li Ning Co Ltd,2331,0.1501%
Top Glove Corporation Bhd,TOPGLOV,0.1492%
China Overseas Land & Investment Ltd,688,0.1483%
Fubon Financial Holding Co Ltd,2881,0.1448%
Country Garden Holdings Co Ltd,2007,0.1439%
Byd Co Ltd,1211,0.1408%
China Resources Beer Holdings Co Ltd,291,0.1399%
Grupo Financiero Banorte SAB de CV,GFNORTEO,0.138%
Telekomunikasi Indonesia (Persero) Tbk PT,TLKM,0.1364%
Country Garden Services Holdings Co Ltd,6098,0.1356%
First Abu Dhabi Bank PJSC,FAB,0.1338%
ENN Energy Holdings Ltd,2688,0.1336%
Tatneft' PAO,TATN,0.1323%
Anhui Conch Cement Co Ltd,914,0.1312%
Credicorp Ltd,BAP,0.1306%
Agricultural Bank of China Ltd,1288,0.1303%
LG Electronics Inc,066570,0.13%
Formosa Chemicals & Fibre Corp,1326,0.1298%
Standard Bank Group Ltd,SBK,0.1292%
KT&G Corp,033780,0.1285%
China Steel Corp,2002,0.128%
Bajaj Finance Ltd,BAJFINANCE,0.127%
Semiconductor Manufacturing International Corp,981,0.126%
Dr.Reddy's Laboratories Ltd,DRRD,0.1257%
Siam Cement PCL,SCC-R,0.1247%
Emirates Telecommunications Group Co PJSC,ETISALAT,0.1245%
Airports of Thailand PCL,AOT-R,0.1242%
Wuliangye Yibin Co Ltd,000858,0.1238%
China Pacific Insurance Group Co Ltd,2601,0.122%
Alibaba Health Information Technology Ltd,241,0.1219%
China Conch Venture Holdings Ltd,586,0.121%
CD Projekt SA,CDR,0.1198%
Samsung C&T Corp,028260,0.1196%
Grupo Mexico SAB de CV,GMEXICOB,0.1196%
Bharti Airtel Ltd,BHARTI,0.1194%
Asian Paints Ltd,APNT,0.1189%
Yihai International Holding Ltd,1579,0.117%
China Tower Corp Ltd,788,0.1164%
Samba Financial Group SJSC,1090,0.1156%
First Financial Holding Co Ltd,2892,0.1148%
Hana Financial Group Inc,086790,0.1136%
China Gas Holdings Ltd,384,0.1126%
Impala Platinum Holdings Ltd,IMP,0.1112%
SK Telecom Co Ltd,017670,0.1111%
Ping An Insurance Group Co of China Ltd,601318,0.1107%
Polyus PAO,PLZL,0.1099%
Taiwan Cement Corp,1101,0.1096%
Itausa Investimentos Itau SA,ITSA4,0.109%
Hartalega Holdings Bhd,HARTA,0.1087%
Huazhu Group Ltd,HTHT,0.1084%
Vipshop Holdings Ltd,VIPS,0.1079%
Innovent Biologics Inc,1801,0.1073%
OTP Bank Nyrt,OTP,0.1064%
Malayan Banking Bhd,MAYBANK,0.1064%
ITC Ltd,ITC,0.1063%
ASE Technology Holding Co Ltd,3711,0.106%
Samsung Electro-Mechanics Co Ltd,009150,0.1054%
Hotai Motor Co Ltd,2207,0.1049%
SK Innovation Co Ltd,096770,0.1047%
Natura & Co Holding SA,NTCO3,0.1041%
Riyad Bank SJSC,1010,0.104%
China Merchants Bank Co Ltd,600036,0.1038%
Globant SA,GLOB,0.1037%
Sibanye Stillwater Ltd,SSW,0.1024%
Advanced Info Service PCL,ADVANC-R,0.1016%
GDS Holdings Ltd,GDS,0.1008%
Bank Mandiri (Persero) Tbk PT,BMRI,0.1002%
Taiwan Cooperative Financial Holding Co Ltd,5880,0.0996%
Mahindra and Mahindra Ltd,MM,0.0987%
Commercial International Bank Egypt SAE,COMI,0.0987%
UltraTech Cement Ltd,UTCEM,0.0985%
PetroChina Co Ltd,857,0.0984%
Localiza Rent a Car SA,RENT3,0.0978%
Realtek Semiconductor Corp,2379,0.0975%
Emirates NBD Bank PJSC,EMIRATESNBD,0.0973%
Astra International Tbk PT,ASII,0.0971%
China Shenhua Energy Co Ltd,1088,0.0967%
Kingdee International Software Group Co Ltd,268,0.0958%
SM Prime Holdings Inc,SMPH,0.0954%
SK Holdings Co Ltd,034730,0.0944%
Xinyi Solar Holdings Ltd,968,0.094%
Bangkok Dusit Medical Services PCL,BDMS-R,0.094%
LG Corp,003550,0.0936%
Yuanta Financial Holdings Co Ltd,2885,0.0928%
Ke Holdings Inc,BEKE,0.0923%
Asustek Computer Inc,2357,0.0921%
Sun Pharmaceutical Industries Ltd,SUNP,0.091%
MTN Group Ltd,MTN,0.0901%
NK Rosneft' PAO,ROSN,0.09%
Tenaga Nasional Bhd,TENAGA,0.0896%
Haidilao International Holding Ltd,6862,0.0892%
Zai Lab Ltd,ZLAB,0.0884%
Lojas Renner SA,LREN3,0.0882%
GSX Techedu Inc,GSX,0.0878%
Sanlam Ltd,SLM,0.0877%
Notre Dame Intermedica Participacoes SA,GNDI3,0.0874%
Cemex SAB de CV,CEMEXCPO,0.0866%
Chailease Holding Company Ltd,5871,0.0863%
Hansoh Pharmaceutical Group Co Ltd,3692,0.0861%
Larsen & Toubro Ltd,LT,0.086%
Tencent Music Entertainment Group,TME,0.0856%
Autohome Inc,ATHM,0.0854%
