FTEC: Fidelity MSCI Information Technology Index ETF
Inception Date: 2013-10-21
Fund Holdings as of: 2021-02-23
Total Assets Under Management (in thousands):	5562010
Shares Outstanding: 51200000
Expense Ratio: 0.084%
Tracks This Index: MSCI USA IMI Information Technology Index
ETFdb.com Category: Technology Equities
Issuer: Fidelity
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FTEC


Holding,Symbol,Weighting
Apple Inc.,AAPL,20.12%
Microsoft Corporation,MSFT,15.67%
Visa Inc. Class A,V,3.34%
NVIDIA Corporation,NVDA,3.26%
Mastercard Incorporated Class A,MA,2.93%
PayPal Holdings Inc,PYPL,2.76%
Intel Corporation,INTC,2.43%
Adobe Inc.,ADBE,2.1%
"salesforce.com, inc.",CRM,2.0%
"Cisco Systems, Inc.",CSCO,1.8%
Broadcom Inc.,AVGO,1.77%
Accenture Plc Class A,ACN,1.52%
Texas Instruments Incorporated,TXN,1.48%
Qualcomm Inc,QCOM,1.45%
Oracle Corporation,ORCL,1.2%
International Business Machines Corporation,IBM,1.0%
"Applied Materials, Inc.",AMAT,0.99%
"ServiceNow, Inc.",NOW,0.99%
Intuit Inc.,INTU,0.97%
"Advanced Micro Devices, Inc.",AMD,0.93%
"Micron Technology, Inc.",MU,0.92%
"Square, Inc. Class A",SQ,0.89%
"Fidelity National Information Services, Inc.",FIS,0.79%
Lam Research Corporation,LRCX,0.77%
"Automatic Data Processing, Inc.",ADP,0.69%
"Zoom Video Communications, Inc. Class A",ZM,0.63%
"Fiserv, Inc.",FISV,0.61%
"Autodesk, Inc.",ADSK,0.59%
Global Payments Inc.,GPN,0.55%
"Analog Devices, Inc.",ADI,0.54%
"Twilio, Inc. Class A",TWLO,0.5%
NXP Semiconductors NV,NXPI,0.47%
KLA Corporation,KLAC,0.46%
"Workday, Inc. Class A",WDAY,0.43%
TE Connectivity Ltd.,TEL,0.4%
"DocuSign, Inc.",DOCU,0.4%
HP Inc.,HPQ,0.37%
Cognizant Technology Solutions Corporation Class A,CTSH,0.37%
Microchip Technology Incorporated,MCHP,0.37%
"Synopsys, Inc.",SNPS,0.36%
Amphenol Corporation Class A,APH,0.36%
"Cadence Design Systems, Inc.",CDNS,0.35%
"Palo Alto Networks, Inc.",PANW,0.34%
Marvell Technology Group Ltd.,MRVL,0.31%
"Trade Desk, Inc. Class A",TTD,0.31%
"ANSYS, Inc.",ANSS,0.3%
"Xilinx, Inc.",XLNX,0.3%
"Okta, Inc. Class A",OKTA,0.3%
"Skyworks Solutions, Inc.",SWKS,0.29%
"CrowdStrike Holdings, Inc. Class A",CRWD,0.29%
"Motorola Solutions, Inc.",MSI,0.28%
"Paychex, Inc.",PAYX,0.27%
Corning Inc,GLW,0.27%
