IHI: iShares U.S. Medical Devices ETF
Inception Date: 2006-05-05
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	8103370
Shares Outstanding: 27500000
Expense Ratio: 0.43%
Tracks This Index: Dow Jones U.S. Select Medical Equipment Index
ETFdb.com Category: Health & Biotech Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IHI


Holding,Symbol,Weighting
Abbott Laboratories,ABT,13.9724%
Thermo Fisher Scientific Inc,TMO,12.8905%
Medtronic PLC,MDT,10.3559%
Danaher Corp,DHR,8.3672%
Stryker Corp,SYK,4.5077%
Intuitive Surgical Inc,ISRG,4.357%
Becton Dickinson and Co,BDX,4.3275%
Edwards Lifesciences Corp,EW,4.1428%
Boston Scientific Corp,BSX,4.1124%
Baxter International Inc,BAX,3.4068%
DexCom Inc,DXCM,3.2762%
IDEXX Laboratories Inc,IDXX,2.7867%
Zimmer Biomet Holdings Inc,ZBH,2.3502%
Resmed Inc,RMD,2.1288%
Hologic Inc,HOLX,1.4571%
Varian Medical Systems Inc,VAR,1.3337%
Teleflex Inc,TFX,1.3281%
Insulet Corp,PODD,1.2958%
Steris plc,STE,1.2507%
ABIOMED Inc,ABMD,1.0443%
Waters Corp,WAT,1.019%
Masimo Corp,MASI,0.9992%
Bio Rad Laboratories Inc,BIO,0.9375%
Novocure Ltd,NVCR,0.7767%
Tandem Diabetes Care Inc,TNDM,0.5835%
iRhythm Technologies Inc,IRTC,0.5695%
Penumbra Inc,PEN,0.5527%
Hill-Rom Holdings Inc,HRC,0.4644%
Nevro Corp,NVRO,0.405%
Bruker Corp,BRKR,0.3489%
Wright Medical Group NV,WMGI,0.3354%
Envista Holdings Corp,NVST,0.3299%
Globus Medical Inc,GMED,0.3134%
Integra Lifesciences Holdings Corp,IART,0.2796%
Cash Component,CASH,0.2364%
STAAR Surgical Co,STAA,0.2195%
NuVasive Inc,NUVA,0.2068%
Shockwave Medical Inc,SWAV,0.1958%
Glaukos Corp,GKOS,0.1937%
Conmed Corp,CNMD,0.1875%
LivaNova PLC,LIVN,0.1796%
Integer Holdings Corp,ITGR,0.164%
Cryoport Inc,CYRX,0.1584%
AtriCure Inc,ATRC,0.153%
NanoString Technologies Inc,NSTG,0.1477%
Cantel Medical Corp,CMD,0.142%
BioTelemetry Inc,BEAT,0.1302%
Cardiovascular Systems Inc,CSII,0.1245%
Axonics Modulation Technologies Inc,AXNX,0.1226%
Mesa Laboratories Inc,MLAB,0.1055%
Genmark Diagnostics Inc,GNMK,0.0804%
Heska Corp,HSKA,0.0748%
CryoLife Inc,CRY,0.0599%
Tactile Systems Technology Inc,TCMD,0.0589%
Orthofix Medical Inc,OFIX,0.0508%
Vapotherm Inc,VAPO,0.05%
Natus Medical Inc,NTUS,0.0489%
Inari Medical Inc,NARI,0.0483%
LeMaitre Vascular Inc,LMAT,0.0459%
Inogen Inc,INGN,0.0457%
Surmodics Inc,SRDX,0.0456%
Varex Imaging Corp,VREX,0.0413%
AngioDynamics Inc,ANGO,0.0411%
AxoGen Inc,AXGN,0.0346%
