MGK: Vanguard Mega Cap Growth ETF
Inception Date: 2007-12-21
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	9332850
Shares Outstanding: 50664000
Expense Ratio: 0.07%
Tracks This Index: MSCI US Large Cap Growth Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/MGK


Holding,Symbol,Weighting
Apple Inc,AAPL,12.8502%
Microsoft Corp,MSFT,11.4763%
Amazon.com Inc,AMZN,9.7653%
Facebook Inc,FB,4.6045%
Alphabet Inc,GOOGL,3.2152%
Alphabet Inc,GOOG,3.0629%
Visa Inc,V,2.4598%
Tesla Inc,TSLA,2.2841%
NVIDIA Corp,NVDA,2.2745%
Mastercard Inc,MA,2.1976%
Home Depot Inc,HD,2.1449%
Adobe Inc,ADBE,1.7213%
PayPal Holdings Inc,PYPL,1.6683%
Netflix Inc,NFLX,1.5966%
Salesforce.Com Inc,CRM,1.5475%
Thermo Fisher Scientific Inc,TMO,1.2638%
Mcdonald's Corp,MCD,1.1919%
Nike Inc,NKE,1.1496%
Costco Wholesale Corp,COST,1.1393%
Broadcom Inc,AVGO,1.0757%
Accenture PLC,ACN,1.0413%
Texas Instruments Inc,TXN,0.9494%
Linde PLC,LIN,0.9087%
Lowe's Companies Inc,LOW,0.8985%
American Tower Corp,AMT,0.7769%
Starbucks Corp,SBUX,0.7255%
Advanced Micro Devices Inc,AMD,0.7031%
ServiceNow Inc,NOW,0.6888%
Lockheed Martin Corp,LMT,0.6753%
Fidelity National Information Services Inc,FIS,0.6753%
Charter Communications Inc,CHTR,0.6666%
Boeing Co,BA,0.643%
S&P Global Inc,SPGI,0.6279%
Intuitive Surgical Inc,ISRG,0.6019%
Zoom Video Communications Inc,ZM,0.5863%
Intuit Inc,INTU,0.5833%
Zoetis Inc,ZTS,0.5645%
Vertex Pharmaceuticals Inc,VRTX,0.5165%
Booking Holdings Inc,BKNG,0.5086%
Stryker Corp,SYK,0.5068%
Crown Castle International Corp,CCI,0.5027%
Equinix Inc,EQIX,0.4973%
Danaher Corp,DHR,0.4949%
Bristol-Myers Squibb Co,BMY,0.4943%
Union Pacific Corp,UNP,0.4925%
Becton Dickinson and Co,BDX,0.4797%
Colgate-Palmolive Co,CL,0.4783%
Activision Blizzard Inc,ATVI,0.4561%
Square Inc,SQ,0.4473%
United Parcel Service Inc,UPS,0.4354%
Fiserv Inc,FISV,0.4319%
Sherwin-Williams Co,SHW,0.429%
TJX Companies Inc,TJX,0.4269%
Regeneron Pharmaceuticals Inc,REGN,0.4235%
Automatic Data Processing Inc,ADP,0.4121%
Applied Materials Inc,AMAT,0.3989%
Boston Scientific Corp,BSX,0.3952%
Intercontinental Exchange Inc,ICE,0.3941%
Global Payments Inc,GPN,0.3893%
Dollar General Corp,DG,0.3824%
Autodesk Inc,ADSK,0.3743%
Ecolab Inc,ECL,0.373%
Lam Research Corp,LRCX,0.3593%
Edwards Lifesciences Corp,EW,0.3554%
Aon PLC,AON,0.3474%
Moody's Corp,MCO,0.335%
Illumina Inc,ILMN,0.3251%
Estee Lauder Companies Inc,EL,0.3171%
Analog Devices Inc,ADI,0.3141%
Roper Technologies Inc,ROP,0.305%
Uber Technologies Inc,UBER,0.2954%
Workday Inc,WDAY,0.2829%
L3harris Technologies Inc,LHX,0.2786%
Electronic Arts Inc,EA,0.2739%
Prologis Inc,PLD,0.2682%
O'Reilly Automotive Inc,ORLY,0.2461%
Public Storage,PSA,0.2398%
Ross Stores Inc,ROST,0.2372%
T-Mobile US Inc,TMUS,0.2317%
Agilent Technologies Inc,A,0.2263%
Monster Beverage Corp,MNST,0.2148%
Marsh & McLennan Companies Inc,MMC,0.2105%
Micron Technology Inc,MU,0.2059%
Illinois Tool Works Inc,ITW,0.2017%
Yum! Brands Inc,YUM,0.2009%
Paychex Inc,PAYX,0.1874%
Newmont Corporation,NEM,0.184%
Brown-Forman Corp,BF.B,0.1699%
Hershey Co,HSY,0.1533%
Baxter International Inc,BAX,0.146%
Blackstone Group Inc,BX,0.1293%
Autozone Inc,AZO,0.1003%
Rockwell Automation Inc,ROK,0.0961%
Hilton Worldwide Holdings Inc,HLT,0.0884%
VMware Inc,VMW,0.0854%
EOG Resources Inc,EOG,0.077%
Snowflake Inc.,SNOW,0.0506%
Alexion Pharmaceuticals Inc,ALXN,0.044%
Keurig Dr Pepper Inc,KDP,0.0418%
Sirius XM Holdings Inc,SIRI,0.0209%
Cash Component,CASH,0.0066%
