OGIG: O’Shares Global Internet Giants ETF
Inception Date: 2018-06-05
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	406029
Shares Outstanding: 9300000
Expense Ratio: 0.48%
Tracks This Index: O’Shares Global Internet Giants Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: O'Shares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/OGIG


Holding,Symbol,Weighting
Amazon.com Inc,AMZN,5.7619%
Alibaba Group Holding Ltd,BABA,5.5051%
Tencent Holdings Ltd,700,3.884%
Alphabet Inc,GOOGL,3.8275%
Facebook Inc,FB,3.7652%
Microsoft Corp,MSFT,3.56%
Meituan Dianping,3690,2.6345%
Zoom Video Communications Inc,ZM,2.5586%
Shopify Inc,SHOP,2.2935%
Pinduoduo Inc,PDD,1.8094%
Mercadolibre Inc,MELI,1.6864%
Delivery Hero SE,DHER,1.5933%
Roku Inc,ROKU,1.592%
Zalando SE,ZAL,1.5686%
Snap Inc,SNAP,1.5678%
CrowdStrike Holdings Inc,CRWD,1.5613%
Pinterest Inc,PINS,1.5271%
Just Eat Takeaway.com NV,TKWY,1.4967%
Fastly Inc,FSLY,1.4371%
ServiceNow Inc,NOW,1.4305%
Netflix Inc,NFLX,1.424%
DocuSign Inc,DOCU,1.4239%
JD.Com Inc,JD,1.4046%
Zscaler Inc,ZS,1.3513%
Bilibili Inc,BILI,1.3353%
Trade Desk Inc,TTD,1.3238%
Smartsheet Inc,SMAR,1.3099%
Ubisoft Entertainment SA,UBI,1.2807%
Okta Inc,OKTA,1.2716%
Salesforce.Com Inc,CRM,1.2694%
MongoDB Inc,MDB,1.2544%
ETSY Inc,ETSY,1.2418%
Twilio Inc,TWLO,1.2194%
NetEase Inc,NTES,1.2181%
Hellofresh SE,HFG,1.2132%
Adobe Inc,ADBE,1.2103%
Zynga Inc,ZNGA,1.2026%
Coupa Software Inc,COUP,1.1312%
Farfetch Ltd,FTCH,1.086%
Xero Ltd,XRO,1.0689%
Zillow Group Inc,Z,1.0592%
Kingdee International Software Group Co Ltd,268,1.0575%
Spotify Technology SA,SPOT,1.055%
Chewy Inc,CHWY,1.0248%
Atlassian Corporation PLC,TEAM,1.019%
Wix.Com Ltd,WIX,1.0182%
Wayfair Inc,W,1.0122%
TeamViewer AG,TMV,0.9702%
Ocado Group PLC,OCDO,0.9601%
Zendesk Inc,ZEN,0.9559%
Tencent Music Entertainment Group,TME,0.9371%
Anaplan Inc,PLAN,0.936%
Elastic NV,ESTC,0.934%
RingCentral Inc,RNG,0.9301%
Avalara Inc,AVLR,0.9211%
HubSpot Inc,HUBS,0.8508%
Workday Inc,WDAY,0.7686%
Splunk Inc,SPLK,0.7545%
Palo Alto Networks Inc,PANW,0.6887%
Nexon Co Ltd,3659,0.6834%
Match Group Inc,MTCH,0.6697%
Twitter Inc,TWTR,0.6681%
Z Holdings Corp,4689,0.5849%
Fortinet Inc,FTNT,0.5739%
Intuit Inc,INTU,0.4595%
Activision Blizzard Inc,ATVI,0.4551%
Baidu Inc,BIDU,0.4492%
Booking Holdings Inc,BKNG,0.3831%
VMware Inc,VMW,0.3671%
eBay Inc,EBAY,0.2822%
Electronic Arts Inc,EA,0.268%
Cash Component,CASH,0.0018%
