PHO: Invesco Water Resources ETF
Inception Date: 2005-12-06
Fund Holdings as of: 2021-02-25
Total Assets Under Management (in thousands):	1419980
Shares Outstanding: 29240000
Expense Ratio: 0.6%
Tracks This Index: NASDAQ OMX US Water Index
ETFdb.com Category: Water Equities 
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PHO


Holding,Symbol,Weighting
Waters Corporation,WAT,8.84%
Danaher Corporation,DHR,7.19%
Ecolab Inc.,ECL,7.03%
"American Water Works Company, Inc.",AWK,7.0%
"Roper Technologies, Inc.",ROP,6.54%
"Advanced Drainage Systems, Inc.",WMS,5.73%
"Tetra Tech, Inc.",TTEK,4.33%
"Itron, Inc.",ITRI,4.26%
Toro Company,TTC,4.11%
Pentair plc,PNR,3.97%
A. O. Smith Corporation,AOS,3.94%
Xylem Inc.,XYL,3.84%
IDEX Corporation,IEX,3.76%
"Essential Utilities, Inc.",WTRG,3.52%
Rexnord Corporation,RXN,3.45%
"Valmont Industries, Inc.",VMI,3.13%
"Watts Water Technologies, Inc. Class A",WTS,2.9%
American States Water Company,AWR,2.04%
"Badger Meter, Inc.",BMI,1.91%
Evoqua Water Technologies Corp,AQUA,1.89%
California Water Service Group,CWT,1.6%
"Franklin Electric Co., Inc.",FELE,1.51%
"Mueller Water Products, Inc. Class A",MWA,1.5%
"Mueller Industries, Inc.",MLI,1.17%
Companhia de Saneamento Basico do Estado de Sao Paulo SABESP Sponsored ADR,SBS,1.08%
Lindsay Corporation,LNN,1.04%
SJW Group,SJW,0.65%
"Energy Recovery, Inc.",ERII,0.43%
Aegion Corporation,AEGN,0.39%
Middlesex Water Company,MSEX,0.35%
Gorman-Rupp Company,GRC,0.21%
Northwest Pipe Company,NWPX,0.19%
York Water Company,YORW,0.16%
Artesian Resources Corporation Class A,ARTNA,0.12%
Consolidated Water Co. Ltd.,CWCO,0.11%
"Global Water Resources, Inc.",GWRS,0.06%
MUTUAL FUND (OTHER),Other,0.05%
