SMOG: VanEck Vectors Low Carbon Energy ETF
Inception Date: 2007-05-03
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	154968
Shares Outstanding: 1433000
Expense Ratio: 0.63%
Tracks This Index: Ardour Global Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: VanEck
Structure: ETF
ETF Home Page: https://etfdb.com/etf/SMOG


Holding,Symbol,Weighting
Tesla Inc,TSLA,9.4839%
Vestas Wind Systems A/S,VWS,8.7282%
Microchip Technology Inc,MCHP,8.5861%
Orsted A/S,ORSTED,8.5659%
Eaton Corporation PLC,ETN,8.4221%
Solaredge Technologies Inc,SEDG,5.7184%
NIO Inc,NIO,5.429%
Nibe Industrier AB,NIBE.B,4.2345%
Sunrun Inc,RUN,4.1107%
Enphase Energy Inc,ENPH,4.0142%
Universal Display Corp,OLED,3.5157%
Cree Inc,CREE,3.1526%
Verbund AG,VER,3.0165%
Siemens Gamesa Renewable Energy SA,SGRE,2.7586%
Northland Power Inc,NPI,2.4897%
Plug Power Inc,PLUG,2.4237%
First Solar Inc,FSLR,2.3004%
Acuity Brands Inc,AYI,1.8355%
Power Integrations Inc,POWI,1.5169%
EnerSys,ENS,1.3093%
Advanced Energy Industries Inc,AEIS,1.105%
Itron Inc,ITRI,1.1016%
Ormat Technologies Inc,ORA,1.077%
Energy Absolute PCL,EA-R,1.0668%
China Longyuan Power Group Corp Ltd,916,0.9505%
Clearway Energy Inc,CWEN,0.8953%
Bloom Energy Corp,BE,0.7984%
Cosan Ltd,CZZ,0.6899%
SunPower Corp,SPWR,0.4383%
Xinjiang Goldwind Science & Technology Co Ltd,2208,0.263%
Cash Component,CASH,0.0021%
