SOXX: iShares PHLX Semiconductor ETF
Inception Date: 2001-07-10
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	3682192
Shares Outstanding: 12100000
Expense Ratio: 0.46%
Tracks This Index: PHLX Semiconductor Sector Index
ETFdb.com Category: Technology Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/SOXX


Holding,Symbol,Weighting
Broadcom Inc,AVGO,8.4134%
Intel Corp,INTC,8.056%
Texas Instruments Inc,TXN,7.9815%
NVIDIA Corp,NVDA,7.929%
Qualcomm Inc,QCOM,7.9024%
Micron Technology Inc,MU,4.4672%
Taiwan Semiconductor Manufacturing Co Ltd,TSM,4.0728%
Lam Research Corp,LRCX,4.0254%
Analog Devices Inc,ADI,4.0012%
NXP Semiconductors NV,NXPI,3.9304%
Applied Materials Inc,AMAT,3.8822%
KLA Corp,KLAC,3.7312%
Advanced Micro Devices Inc,AMD,3.6096%
ASML Holding NV,ASML,3.5442%
Marvell Technology Group Ltd,MRVL,3.2779%
Microchip Technology Inc,MCHP,3.2199%
Xilinx Inc,XLNX,3.1431%
Skyworks Solutions Inc,SWKS,2.9933%
Qorvo Inc,QRVO,1.8545%
Teradyne Inc,TER,1.6461%
Monolithic Power Systems Inc,MPWR,1.5423%
Entegris Inc,ENTG,1.2251%
ON Semiconductor Corp,ON,1.1108%
Cree Inc,CREE,0.8539%
MKS Instruments Inc,MKSI,0.7578%
Inphi Corp,IPHI,0.7282%
Silicon Laboratories Inc,SLAB,0.5332%
Cabot Microelectronics Corp,CCMP,0.514%
Lattice Semiconductor Corp,LSCC,0.4811%
Brooks Automation Inc,BRKS,0.4308%
Cash Component,CASH,0.1415%
