SPY: SPDR S&P 500 ETF
Inception Date: 1993-01-22
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	290672951
Shares Outstanding: 874332000
Expense Ratio: 0.0945%
Tracks This Index: S&P 500 Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: State Street SPDR
Structure: UIT
ETF Home Page: https://etfdb.com/etf/SPY


Holding,Symbol,Weighting
Apple Inc,AAPL,6.6336%
Microsoft Corp,MSFT,5.6732%
Amazon.com Inc,AMZN,4.8434%
Facebook Inc,FB,2.2757%
Alphabet Inc,GOOGL,1.5963%
Alphabet Inc,GOOG,1.5646%
Berkshire Hathaway Inc,BRK.B,1.5091%
Johnson & Johnson,JNJ,1.4005%
Procter & Gamble Co,PG,1.2361%
Visa Inc,V,1.2166%
NVIDIA Corp,NVDA,1.1807%
Mastercard Inc,MA,1.0741%
Home Depot Inc,HD,1.0591%
JPMorgan Chase & Co,JPM,1.0509%
UnitedHealth Group Inc,UNH,1.0448%
Verizon Communications Inc,VZ,0.8867%
Adobe Inc,ADBE,0.8478%
PayPal Holdings Inc,PYPL,0.8249%
Walt Disney Co,DIS,0.8193%
Salesforce.Com Inc,CRM,0.8143%
Intel Corp,INTC,0.7874%
Netflix Inc,NFLX,0.7867%
Comcast Corp,CMCSA,0.7618%
Merck & Co Inc,MRK,0.7494%
AT&T Inc,T,0.7294%
Pfizer Inc,PFE,0.727%
Walmart Inc,WMT,0.6889%
PepsiCo Inc,PEP,0.6865%
Coca-Cola Co,KO,0.684%
Abbott Laboratories,ABT,0.6733%
Bank of America Corp,BAC,0.6555%
Thermo Fisher Scientific Inc,TMO,0.6219%
Cisco Systems Inc,CSCO,0.598%
Mcdonald's Corp,MCD,0.5881%
Nike Inc,NKE,0.5686%
Costco Wholesale Corp,COST,0.5614%
Abbvie Inc,ABBV,0.5546%
Broadcom Inc,AVGO,0.5303%
Amgen Inc,AMGN,0.5258%
Exxon Mobil Corp,XOM,0.5242%
Accenture PLC,ACN,0.515%
Nextera Energy Inc,NEE,0.5007%
Medtronic PLC,MDT,0.4992%
Bristol-Myers Squibb Co,BMY,0.4883%
Chevron Corp,CVX,0.4857%
Union Pacific Corp,UNP,0.4841%
Danaher Corp,DHR,0.4824%
Qualcomm Inc,QCOM,0.4788%
Texas Instruments Inc,TXN,0.469%
Linde PLC,LIN,0.4495%
Lowe's Companies Inc,LOW,0.4432%
United Parcel Service Inc,UPS,0.4308%
Eli Lilly and Co,LLY,0.4197%
Philip Morris International Inc,PM,0.4186%
Honeywell International Inc,HON,0.4176%
Oracle Corp,ORCL,0.4157%
International Business Machines Corp,IBM,0.3892%
American Tower Corp,AMT,0.3857%
Starbucks Corp,SBUX,0.3586%
Advanced Micro Devices Inc,AMD,0.3473%
Wells Fargo & Co,WFC,0.3466%
Lockheed Martin Corp,LMT,0.3461%
Charter Communications Inc,CHTR,0.3392%
ServiceNow Inc,NOW,0.3376%
Fidelity National Information Services Inc,FIS,0.3339%
3M Co,MMM,0.3326%
Citigroup Inc,C,0.3195%
Raytheon Technologies Corp,RTX,0.3181%
Boeing Co,BA,0.314%
S&P Global Inc,SPGI,0.3114%
Intuit Inc,INTU,0.3057%
Mondelez International Inc,MDLZ,0.2919%
Intuitive Surgical Inc,ISRG,0.2918%
Caterpillar Inc,CAT,0.2891%
Target Corp,TGT,0.2842%
BlackRock Inc,BLK,0.2837%
Gilead Sciences Inc,GILD,0.2817%
Zoetis Inc,ZTS,0.2796%
CVS Health Corp,CVS,0.2724%
Prologis Inc,PLD,0.2661%
Altria Group Inc,MO,0.2578%
Vertex Pharmaceuticals Inc,VRTX,0.2553%
Booking Holdings Inc,BKNG,0.2516%
Deere & Co,DE,0.249%
Crown Castle International Corp,CCI,0.2489%
Goldman Sachs Group Inc,GS,0.2451%
Equinix Inc,EQIX,0.2434%
Stryker Corp,SYK,0.2414%
T-Mobile US Inc,TMUS,0.239%
Dominion Energy Inc,D,0.2366%
Colgate-Palmolive Co,CL,0.2361%
Anthem Inc,ANTM,0.236%
Becton Dickinson and Co,BDX,0.236%
Air Products and Chemicals Inc,APD,0.2351%
TJX Companies Inc,TJX,0.2349%
American Express Co,AXP,0.2305%
Activision Blizzard Inc,ATVI,0.2255%
FedEx Corp,FDX,0.2211%
Duke Energy Corp,DUK,0.2191%
Cigna Corp,CI,0.2185%
Regeneron Pharmaceuticals Inc,REGN,0.2174%
CME Group Inc,CME,0.2159%
CSX Corp,CSX,0.2147%
Automatic Data Processing Inc,ADP,0.2135%
Marsh & McLennan Companies Inc,MMC,0.2093%
Fiserv Inc,FISV,0.2081%
Sherwin-Williams Co,SHW,0.208%
Southern Co,SO,0.2051%
Morgan Stanley,MS,0.2046%
Micron Technology Inc,MU,0.2038%
Illinois Tool Works Inc,ITW,0.2014%
Intercontinental Exchange Inc,ICE,0.2011%
Progressive Corp,PGR,0.1994%
Norfolk Southern Corp,NSC,0.1986%
Applied Materials Inc,AMAT,0.197%
Boston Scientific Corp,BSX,0.1954%
General Electric Co,GE,0.1938%
Humana Inc,HUM,0.1932%
Global Payments Inc,GPN,0.1922%
Dollar General Corp,DG,0.1892%
Chubb Ltd,CB,0.1864%
Autodesk Inc,ADSK,0.185%
Newmont Corporation,NEM,0.1824%
Northrop Grumman Corp,NOC,0.182%
Kimberly-Clark Corp,KMB,0.1805%
Truist Financial Corp,TFC,0.1803%
Lam Research Corp,LRCX,0.1788%
Ecolab Inc,ECL,0.177%
Edwards Lifesciences Corp,EW,0.1762%
Estee Lauder Companies Inc,EL,0.1757%
U.S. Bancorp,USB,0.175%
Aon PLC,AON,0.1715%
Moody's Corp,MCO,0.1667%
PNC Financial Services Group Inc,PNC,0.164%
Illumina Inc,ILMN,0.1617%
Biogen Inc,BIIB,0.1614%
Waste Management Inc,WM,0.1597%
Analog Devices Inc,ADI,0.1558%
Roper Technologies Inc,ROP,0.1521%
Charles Schwab Corp,SCHW,0.15%
Eaton Corporation PLC,ETN,0.1467%
Dupont De Nemours Inc,DD,0.1464%
American Electric Power Company Inc,AEP,0.1452%
Baxter International Inc,BAX,0.1446%
Digital Realty Trust Inc,DLR,0.1438%
Emerson Electric Co,EMR,0.1407%
DexCom Inc,DXCM,0.1403%
L3harris Technologies Inc,LHX,0.1374%
Electronic Arts Inc,EA,0.1361%
Cognizant Technology Solutions Corp,CTSH,0.1353%
General Mills Inc,GIS,0.1322%
General Motors Co,GM,0.1309%
Xcel Energy Inc,XEL,0.1305%
Chipotle Mexican Grill Inc,CMG,0.129%
Twitter Inc,TWTR,0.1281%
eBay Inc,EBAY,0.1267%
SBA Communications Corp,SBAC,0.1265%
ConocoPhillips,COP,0.126%
Dow Inc,DOW,0.125%
Exelon Corp,EXC,0.1245%
O'Reilly Automotive Inc,ORLY,0.1227%
Sempra Energy,SRE,0.1216%
Public Storage,PSA,0.1209%
IDEXX Laboratories Inc,IDXX,0.1181%
Ross Stores Inc,ROST,0.1172%
Amphenol Corp,APH,0.117%
Centene Corp,CNC,0.1169%
General Dynamics Corp,GD,0.1167%
Capital One Financial Corp,COF,0.1166%
Synopsys Inc,SNPS,0.1162%
TE Connectivity Ltd,TEL,0.1161%
HCA Healthcare Inc,HCA,0.115%
Cummins Inc,CMI,0.114%
Constellation Brands Inc,STZ,0.1139%
Sysco Corp,SYY,0.1126%
Agilent Technologies Inc,A,0.1115%
WEC Energy Group Inc,WEC,0.1105%
Johnson Controls International PLC,JCI,0.1101%
Verisk Analytics Inc,VRSK,0.1087%
KLA Corp,KLAC,0.1082%
Paccar Inc,PCAR,0.1078%
MSCI Inc,MSCI,0.1071%
IQVIA Holdings Inc,IQV,0.1071%
Cadence Design Systems Inc,CDNS,0.1069%
Monster Beverage Corp,MNST,0.1066%
Allstate Corp,ALL,0.1057%
Trane Technologies PLC,TT,0.105%
IHS Markit Ltd,INFO,0.1043%
T. Rowe Price Group Inc,TROW,0.1043%
Cintas Corp,CTAS,0.1033%
Eversource Energy,ES,0.1029%
PPG Industries Inc,PPG,0.1028%
MetLife Inc,MET,0.1026%
Public Service Enterprise Group Inc,PEG,0.1002%
ANSYS Inc,ANSS,0.1%
Bank of New York Mellon Corp,BK,0.0998%
Zimmer Biomet Holdings Inc,ZBH,0.0995%
Yum! Brands Inc,YUM,0.0988%
Travelers Companies Inc,TRV,0.0982%
Autozone Inc,AZO,0.0973%
Ball Corp,BLL,0.0971%
TransDigm Group Inc,TDG,0.0971%
Motorola Solutions Inc,MSI,0.0967%
Willis Towers Watson PLC,WLTW,0.0964%
Clorox Co,CLX,0.0962%
Kroger Co,KR,0.0951%
American Water Works Company Inc,AWK,0.0942%
Fastenal Co,FAST,0.0941%
HP Inc,HPQ,0.094%
Microchip Technology Inc,MCHP,0.0939%
Parker-Hannifin Corp,PH,0.0937%
Ford Motor Co,F,0.0933%
Stanley Black & Decker Inc,SWK,0.0933%
Rockwell Automation Inc,ROK,0.0932%
Consolidated Edison Inc,ED,0.0931%
Fortive Corp,FTV,0.0931%
Archer-Daniels-Midland Co,ADM,0.0924%
Otis Worldwide Corp,OTIS,0.092%
Paychex Inc,PAYX,0.0919%
Walgreens Boots Alliance Inc,WBA,0.0919%
Xilinx Inc,XLNX,0.0916%
Best Buy Co Inc,BBY,0.0914%
Resmed Inc,RMD,0.0904%
Prudential Financial Inc,PRU,0.09%
Carrier Global Corp,CARR,0.0899%
Marriott International Inc,MAR,0.0897%
Aptiv PLC,APTV,0.0896%
Alexion Pharmaceuticals Inc,ALXN,0.0893%
Williams Companies Inc,WMB,0.089%
D.R. Horton Inc,DHI,0.0886%
Corning Inc,GLW,0.0879%
Kinder Morgan Inc,KMI,0.0876%
Hilton Worldwide Holdings Inc,HLT,0.087%
Skyworks Solutions Inc,SWKS,0.0868%
Aflac Inc,AFL,0.0865%
Mckesson Corp,MCK,0.0864%
McCormick & Company Inc,MKC,0.0857%
American International Group Inc,AIG,0.085%
Church & Dwight Co Inc,CHD,0.0832%
AMETEK Inc,AME,0.0829%
Align Technology Inc,ALGN,0.0828%
Phillips 66,PSX,0.0826%
Welltower Inc,WELL,0.0823%
Mettler-Toledo International Inc,MTD,0.0816%
VF Corp,VFC,0.0805%
Freeport-McMoRan Inc,FCX,0.0805%
Southwest Airlines Co,LUV,0.0803%
DTE Energy Co,DTE,0.0798%
Copart Inc,CPRT,0.0789%
Cerner Corp,CERN,0.0788%
Schlumberger NV,SLB,0.0784%
Lennar Corp,LEN,0.0784%
Corteva Inc,CTVA,0.0774%
Dollar Tree Inc,DLTR,0.0773%
State Street Corp,STT,0.0764%
EOG Resources Inc,EOG,0.0762%
Realty Income Corp,O,0.0761%
Weyerhaeuser Co,WY,0.0758%
Hershey Co,HSY,0.0756%
Avalonbay Communities Inc,AVB,0.0754%
Verisign Inc,VRSN,0.0752%
PPL Corp,PPL,0.0747%
Fleetcor Technologies Inc,FLT,0.0739%
Arthur J Gallagher & Co,AJG,0.0725%
West Pharmaceutical Services Inc,WST,0.0724%
Republic Services Inc,RSG,0.0712%
Simon Property Group Inc,SPG,0.0708%
Ameren Corp,AEE,0.0708%
Delta Air Lines Inc,DAL,0.0705%
Edison International,EIX,0.0697%
Kraft Heinz Co,KHC,0.0694%
Equifax Inc,EFX,0.0693%
Marathon Petroleum Corp,MPC,0.0692%
Entergy Corp,ETR,0.0691%
Alexandria Real Estate Equities Inc,ARE,0.0683%
Take-Two Interactive Software Inc,TTWO,0.0682%
Keysight Technologies Inc,KEYS,0.0677%
Marketaxess Holdings Inc,MKTX,0.0672%
First Republic Bank,FRC,0.0667%
Laboratory Corporation of America Holdings,LH,0.0662%
Maxim Integrated Products Inc,MXIM,0.0657%
Akamai Technologies Inc,AKAM,0.0656%
LyondellBasell Industries NV,LYB,0.0655%
Ameriprise Financial Inc,AMP,0.0651%
Old Dominion Freight Line Inc,ODFL,0.0646%
Valero Energy Corp,VLO,0.064%
Vulcan Materials Co,VMC,0.0639%
Equity Residential,EQR,0.0633%
CMS Energy Corp,CMS,0.0632%
Conagra Brands Inc,CAG,0.0628%
Tyson Foods Inc,TSN,0.0628%
Kansas City Southern,KSU,0.0627%
Hologic Inc,HOLX,0.0621%
Amcor PLC,AMCR,0.0616%
Discover Financial Services,DFS,0.0616%
Domino's Pizza Inc,DPZ,0.0611%
CDW Corp,CDW,0.0611%
Citrix Systems Inc,CTXS,0.061%
Cooper Companies Inc,COO,0.0602%
Tractor Supply Co,TSCO,0.0594%
ViacomCBS Inc,VIAC,0.0591%
Incyte Corp,INCY,0.0589%
Kellogg Co,K,0.0584%
Northern Trust Corp,NTRS,0.0582%
Ventas Inc,VTR,0.0574%
