USMV: iShares Edge MSCI Min Vol USA ETF
Inception Date: 2011-10-18
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	33804662
Shares Outstanding: 533400000
Expense Ratio: 0.15%
Tracks This Index: MSCI USA Minimum Volatility Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/USMV


Holding,Symbol,Weighting
Nextera Energy Inc,NEE,1.7102%
Mcdonald's Corp,MCD,1.6956%
T-Mobile US Inc,TMUS,1.603%
Verizon Communications Inc,VZ,1.5167%
Microsoft Corp,MSFT,1.5144%
Republic Services Inc,RSG,1.5144%
Waste Management Inc,WM,1.4919%
Visa Inc,V,1.4664%
PepsiCo Inc,PEP,1.4497%
Merck & Co Inc,MRK,1.444%
Coca-Cola Co,KO,1.404%
Accenture PLC,ACN,1.3661%
Johnson & Johnson,JNJ,1.3437%
Procter & Gamble Co,PG,1.3418%
Vertex Pharmaceuticals Inc,VRTX,1.3333%
Newmont Corporation,NEM,1.2971%
Regeneron Pharmaceuticals Inc,REGN,1.2949%
Waste Connections Inc,WCN,1.2695%
Adobe Inc,ADBE,1.192%
Hershey Co,HSY,1.1726%
Citrix Systems Inc,CTXS,1.1492%
Fidelity National Information Services Inc,FIS,1.1485%
Eli Lilly and Co,LLY,1.1433%
Xcel Energy Inc,XEL,1.111%
Medtronic PLC,MDT,1.1083%
Gilead Sciences Inc,GILD,1.0722%
Danaher Corp,DHR,1.0539%
Paychex Inc,PAYX,1.0537%
Consolidated Edison Inc,ED,0.9941%
Mastercard Inc,MA,0.9871%
CH Robinson Worldwide Inc,CHRW,0.9568%
Southern Co,SO,0.9537%
Duke Energy Corp,DUK,0.9428%
Black Knight Inc,BKI,0.9389%
Hormel Foods Corp,HRL,0.9324%
Public Storage,PSA,0.9321%
Jack Henry & Associates Inc,JKHY,0.898%
Tyler Technologies Inc,TYL,0.8945%
Pfizer Inc,PFE,0.8875%
Home Depot Inc,HD,0.8833%
Motorola Solutions Inc,MSI,0.8655%
American Tower Corp,AMT,0.8329%
AT&T Inc,T,0.8328%
Aon PLC,AON,0.8069%
Fiserv Inc,FISV,0.7987%
Marsh & McLennan Companies Inc,MMC,0.7792%
Walmart Inc,WMT,0.7768%
Chubb Ltd,CB,0.7692%
Lockheed Martin Corp,LMT,0.7452%
Oracle Corp,ORCL,0.7327%
WEC Energy Group Inc,WEC,0.7298%
Dollar General Corp,DG,0.6986%
Walt Disney Co,DIS,0.6859%
Ecolab Inc,ECL,0.6782%
UnitedHealth Group Inc,UNH,0.6743%
Keysight Technologies Inc,KEYS,0.6699%
Crown Castle International Corp,CCI,0.6532%
Western Union Co,WU,0.6496%
W. R. Berkley Corp,WRB,0.6459%
Starbucks Corp,SBUX,0.6437%
Arthur J Gallagher & Co,AJG,0.6377%
Amphenol Corp,APH,0.6262%
Intercontinental Exchange Inc,ICE,0.6207%
CME Group Inc,CME,0.6098%
Allstate Corp,ALL,0.6092%
Baxter International Inc,BAX,0.6013%
Cisco Systems Inc,CSCO,0.6003%
Stryker Corp,SYK,0.5939%
Berkshire Hathaway Inc,BRK.B,0.5922%
Everest Re Group Ltd,RE,0.5884%
Clorox Co,CLX,0.5846%
TJX Companies Inc,TJX,0.5822%
Comcast Corp,CMCSA,0.5776%
McCormick & Company Inc,MKC,0.545%
Mondelez International Inc,MDLZ,0.5302%
Take-Two Interactive Software Inc,TTWO,0.5298%
Renaissancere Holdings Ltd,RNR,0.5219%
Akamai Technologies Inc,AKAM,0.5219%
Progressive Corp,PGR,0.5165%
Autozone Inc,AZO,0.4951%
Equity Residential,EQR,0.4947%
Automatic Data Processing Inc,ADP,0.4939%
L3harris Technologies Inc,LHX,0.4929%
Kellogg Co,K,0.4815%
Brown & Brown Inc,BRO,0.4785%
Cognizant Technology Solutions Corp,CTSH,0.4596%
Church & Dwight Co Inc,CHD,0.4504%
Travelers Companies Inc,TRV,0.4478%
American Electric Power Company Inc,AEP,0.4442%
Zoetis Inc,ZTS,0.4297%
Nike Inc,NKE,0.4275%
Dominion Energy Inc,D,0.42%
Anthem Inc,ANTM,0.4123%
Exxon Mobil Corp,XOM,0.408%
Charter Communications Inc,CHTR,0.4049%
Humana Inc,HUM,0.4044%
Markel Corp,MKL,0.3894%
Colgate-Palmolive Co,CL,0.3776%
Verisk Analytics Inc,VRSK,0.3771%
Air Products and Chemicals Inc,APD,0.375%
Verisign Inc,VRSN,0.3733%
Camden Property Trust,CPT,0.3668%
Kimberly-Clark Corp,KMB,0.3595%
Broadridge Financial Solutions Inc,BR,0.3577%
O'Reilly Automotive Inc,ORLY,0.3467%
Bristol-Myers Squibb Co,BMY,0.3393%
Honeywell International Inc,HON,0.3351%
International Business Machines Corp,IBM,0.3344%
Extra Space Storage Inc,EXR,0.3328%
Abbott Laboratories,ABT,0.3152%
U.S. Bancorp,USB,0.305%
Cooper Companies Inc,COO,0.3039%
Cash Component,CASH,0.3032%
Altria Group Inc,MO,0.2951%
Arch Capital Group Ltd,ACGL,0.2856%
Dollar Tree Inc,DLTR,0.2797%
Booz Allen Hamilton Holding Corp,BAH,0.277%
Texas Instruments Inc,TXN,0.2755%
Hartford Financial Services Group Inc,HIG,0.2754%
Cboe Global Markets Inc,CBOE,0.2728%
Eversource Energy,ES,0.2699%
UDR Inc,UDR,0.2659%
Willis Towers Watson PLC,WLTW,0.2641%
Target Corp,TGT,0.2631%
J M Smucker Co,SJM,0.2618%
Broadcom Inc,AVGO,0.2575%
Garmin Ltd,GRMN,0.255%
Kroger Co,KR,0.2528%
Essex Property Trust Inc,ESS,0.2504%
Avalonbay Communities Inc,AVB,0.2408%
Apple Inc,AAPL,0.2386%
CMS Energy Corp,CMS,0.2353%
Fidelity National Financial Inc,FNF,0.2295%
Becton Dickinson and Co,BDX,0.2276%
Mid-America Apartment Communities Inc,MAA,0.2259%
Amgen Inc,AMGN,0.2236%
Fleetcor Technologies Inc,FLT,0.2223%
Intuit Inc,INTU,0.2185%
Ross Stores Inc,ROST,0.2173%
General Mills Inc,GIS,0.2132%
Kinder Morgan Inc,KMI,0.212%
Amcor PLC,AMCR,0.2119%
Evergy Inc,EVRG,0.2044%
Campbell Soup Co,CPB,0.2022%
Palo Alto Networks Inc,PANW,0.1713%
Alleghany Corp,Y,0.1683%
Genuine Parts Co,GPC,0.1622%
Philip Morris International Inc,PM,0.1599%
Incyte Corp,INCY,0.1594%
Cincinnati Financial Corp,CINF,0.1577%
SBA Communications Corp,SBAC,0.1566%
Amerco,UHAL,0.1562%
Omnicom Group Inc,OMC,0.1359%
Cheniere Energy Inc,LNG,0.1318%
Alphabet Inc,GOOG,0.1315%
Universal Health Services Inc,UHS,0.1301%
Intel Corp,INTC,0.1139%
Biomarin Pharmaceutical Inc,BMRN,0.1101%
Alliant Energy Corp,LNT,0.1097%
Brown-Forman Corp,BF.B,0.1053%
