VIG: Vanguard Dividend Appreciation ETF
Inception Date: 2006-04-27
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	47256171
Shares Outstanding: 370114000
Expense Ratio: 0.06%
Tracks This Index: NASDAQ US Dividend Achievers Select Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VIG


Holding,Symbol,Weighting
Microsoft Corp,MSFT,4.4673%
Walmart Inc,WMT,4.4467%
Procter & Gamble Co,PG,4.0937%
Visa Inc,V,3.8301%
Johnson & Johnson,JNJ,3.8193%
Home Depot Inc,HD,3.5804%
UnitedHealth Group Inc,UNH,3.4874%
Walt Disney Co,DIS,2.7343%
Comcast Corp,CMCSA,2.5343%
Oracle Corp,ORCL,2.3028%
PepsiCo Inc,PEP,2.2989%
Abbott Laboratories,ABT,2.2409%
Mcdonald's Corp,MCD,1.9662%
Nike Inc,NKE,1.896%
Costco Wholesale Corp,COST,1.8754%
Accenture PLC,ACN,1.7199%
Nextera Energy Inc,NEE,1.6675%
Medtronic PLC,MDT,1.66%
Union Pacific Corp,UNP,1.6437%
Bristol-Myers Squibb Co,BMY,1.6326%
Qualcomm Inc,QCOM,1.618%
Texas Instruments Inc,TXN,1.5959%
Lowe's Companies Inc,LOW,1.4996%
Lockheed Martin Corp,LMT,1.3275%
Raytheon Technologies Corp,RTX,1.0827%
S&P Global Inc,SPGI,1.0513%
BlackRock Inc,BLK,1.0429%
Caterpillar Inc,CAT,0.979%
Target Corp,TGT,0.9588%
Stryker Corp,SYK,0.9236%
FedEx Corp,FDX,0.8021%
Sherwin-Williams Co,SHW,0.7959%
Colgate-Palmolive Co,CL,0.788%
TJX Companies Inc,TJX,0.7873%
Air Products and Chemicals Inc,APD,0.7825%
Illinois Tool Works Inc,ITW,0.7455%
Becton Dickinson and Co,BDX,0.7415%
CSX Corp,CSX,0.7245%
Automatic Data Processing Inc,ADP,0.7153%
Marsh & McLennan Companies Inc,MMC,0.6932%
Ecolab Inc,ECL,0.6866%
Northrop Grumman Corp,NOC,0.6624%
Moody's Corp,MCO,0.6445%
Chubb Ltd,CB,0.6233%
Waste Management Inc,WM,0.5827%
Estee Lauder Companies Inc,EL,0.5787%
Analog Devices Inc,ADI,0.5189%
Roper Technologies Inc,ROP,0.5155%
General Dynamics Corp,GD,0.4861%
American Electric Power Company Inc,AEP,0.482%
Emerson Electric Co,EMR,0.4818%
L3harris Technologies Inc,LHX,0.468%
Xcel Energy Inc,XEL,0.4344%
Cintas Corp,CTAS,0.4139%
Ross Stores Inc,ROST,0.3936%
Cummins Inc,CMI,0.3868%
Sysco Corp,SYY,0.3756%
WEC Energy Group Inc,WEC,0.3694%
Marriott International Inc,MAR,0.365%
T. Rowe Price Group Inc,TROW,0.3635%
KLA Corp,KLAC,0.3634%
Republic Services Inc,RSG,0.3619%
Best Buy Co Inc,BBY,0.3449%
PPG Industries Inc,PPG,0.343%
VF Corp,VFC,0.3317%
Eversource Energy,ES,0.3303%
Travelers Companies Inc,TRV,0.3299%
Kroger Co,KR,0.3269%
Clorox Co,CLX,0.3164%
American Water Works Company Inc,AWK,0.3151%
Fastenal Co,FAST,0.3138%
Aflac Inc,AFL,0.3137%
Hormel Foods Corp,HRL,0.3131%
Mckesson Corp,MCK,0.3122%
Rockwell Automation Inc,ROK,0.3119%
Xilinx Inc,XLNX,0.3117%
Stanley Black & Decker Inc,SWK,0.2985%
Microchip Technology Inc,MCHP,0.2961%
McCormick & Company Inc,MKC,0.2855%
Brown-Forman Corp,BF.B,0.2805%
Church & Dwight Co Inc,CHD,0.2763%
Hershey Co,HSY,0.2521%
West Pharmaceutical Services Inc,WST,0.24%
Amerisourcebergen Corp,ABC,0.238%
W W Grainger Inc,GWW,0.2316%
Marketaxess Holdings Inc,MKTX,0.2281%
Ameriprise Financial Inc,AMP,0.2214%
Rollins Inc,ROL,0.2151%
CMS Energy Corp,CMS,0.2106%
Dover Corp,DOV,0.1899%
Expeditors International of Washington Inc,EXPD,0.1866%
Broadridge Financial Solutions Inc,BR,0.1816%
CH Robinson Worldwide Inc,CHRW,0.1689%
Genuine Parts Co,GPC,0.1662%
J B Hunt Transport Services Inc,JBHT,0.1652%
IDEX Corp,IEX,0.1651%
Nucor Corp,NUE,0.1626%
Factset Research Systems Inc,FDS,0.1569%
International Flavors & Fragrances Inc,IFF,0.1561%
Brown & Brown Inc,BRO,0.1542%
Celanese Corp,CE,0.154%
Cincinnati Financial Corp,CINF,0.1537%
Jack Henry & Associates Inc,JKHY,0.1524%
Alliant Energy Corp,LNT,0.1504%
Atmos Energy Corp,ATO,0.14%
W. R. Berkley Corp,WRB,0.1356%
Hasbro Inc,HAS,0.1349%
Nordson Corp,NDSN,0.1319%
RPM International Inc,RPM,0.1289%
Lennox International Inc,LII,0.1281%
Graco Inc,GGG,0.1249%
Raymond James Financial Inc,RJF,0.1223%
Erie Indemnity Co,ERIE,0.1185%
