VOO: Vanguard S&P 500 ETF
Inception Date: 2010-09-09
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	159939700
Shares Outstanding: 523706000
Expense Ratio: 0.03%
Tracks This Index: S&P 500 Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VOO


Holding,Symbol,Weighting
Apple Inc,AAPL,6.6377%
Microsoft Corp,MSFT,5.6762%
Amazon.com Inc,AMZN,4.8605%
Facebook Inc,FB,2.2767%
Alphabet Inc,GOOGL,1.5937%
Alphabet Inc,GOOG,1.5588%
Berkshire Hathaway Inc,BRK.B,1.5104%
Johnson & Johnson,JNJ,1.4022%
Procter & Gamble Co,PG,1.2369%
Visa Inc,V,1.2173%
NVIDIA Corp,NVDA,1.1779%
Mastercard Inc,MA,1.0745%
Home Depot Inc,HD,1.0585%
JPMorgan Chase & Co,JPM,1.0515%
UnitedHealth Group Inc,UNH,1.0477%
Verizon Communications Inc,VZ,0.8869%
Adobe Inc,ADBE,0.8524%
PayPal Holdings Inc,PYPL,0.8254%
Walt Disney Co,DIS,0.8196%
Salesforce.Com Inc,CRM,0.8135%
Netflix Inc,NFLX,0.7885%
Intel Corp,INTC,0.7878%
Comcast Corp,CMCSA,0.7624%
Merck & Co Inc,MRK,0.7498%
AT&T Inc,T,0.7298%
Pfizer Inc,PFE,0.7272%
Walmart Inc,WMT,0.6897%
PepsiCo Inc,PEP,0.688%
Coca-Cola Co,KO,0.6843%
Abbott Laboratories,ABT,0.6737%
Bank of America Corp,BAC,0.656%
Thermo Fisher Scientific Inc,TMO,0.6201%
Cisco Systems Inc,CSCO,0.5986%
Mcdonald's Corp,MCD,0.59%
Nike Inc,NKE,0.5693%
Costco Wholesale Corp,COST,0.5627%
Abbvie Inc,ABBV,0.5554%
Broadcom Inc,AVGO,0.5296%
Amgen Inc,AMGN,0.5268%
Exxon Mobil Corp,XOM,0.5244%
Accenture PLC,ACN,0.5165%
Nextera Energy Inc,NEE,0.5006%
Medtronic PLC,MDT,0.499%
Bristol-Myers Squibb Co,BMY,0.4888%
Chevron Corp,CVX,0.4859%
Union Pacific Corp,UNP,0.4857%
Danaher Corp,DHR,0.4809%
Qualcomm Inc,QCOM,0.4797%
Texas Instruments Inc,TXN,0.4689%
Linde PLC,LIN,0.449%
Lowe's Companies Inc,LOW,0.4442%
United Parcel Service Inc,UPS,0.4304%
Eli Lilly and Co,LLY,0.4195%
Philip Morris International Inc,PM,0.4187%
Honeywell International Inc,HON,0.418%
Oracle Corp,ORCL,0.4159%
International Business Machines Corp,IBM,0.3897%
American Tower Corp,AMT,0.3868%
Starbucks Corp,SBUX,0.3587%
Advanced Micro Devices Inc,AMD,0.347%
Wells Fargo & Co,WFC,0.3467%
Lockheed Martin Corp,LMT,0.3462%
ServiceNow Inc,NOW,0.3387%
Charter Communications Inc,CHTR,0.3364%
Fidelity National Information Services Inc,FIS,0.3333%
3M Co,MMM,0.3328%
Citigroup Inc,C,0.3195%
Raytheon Technologies Corp,RTX,0.3184%
Boeing Co,BA,0.315%
S&P Global Inc,SPGI,0.3133%
Intuit Inc,INTU,0.3052%
Mondelez International Inc,MDLZ,0.2922%
Intuitive Surgical Inc,ISRG,0.2904%
Caterpillar Inc,CAT,0.2896%
Target Corp,TGT,0.2837%
BlackRock Inc,BLK,0.2834%
Gilead Sciences Inc,GILD,0.2814%
Zoetis Inc,ZTS,0.2788%
CVS Health Corp,CVS,0.2728%
