VOX: Vanguard Communication Services ETF
Inception Date: 2004-09-23
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	2590756
Shares Outstanding: 25467000
Expense Ratio: 0.1%
Tracks This Index: MSCI US Investable Market Telecommunication Services 25/50 Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VOX


Holding,Symbol,Weighting
Facebook Inc,FB,17.2116%
Alphabet Inc,GOOG,10.9514%
Alphabet Inc,GOOGL,10.6967%
Verizon Communications Inc,VZ,5.5029%
Comcast Corp,CMCSA,4.8516%
Netflix Inc,NFLX,4.6266%
Walt Disney Co,DIS,4.4666%
AT&T Inc,T,4.3296%
Charter Communications Inc,CHTR,3.1703%
T-Mobile US Inc,TMUS,2.378%
Activision Blizzard Inc,ATVI,2.215%
Zillow Group Inc,Z,1.663%
Electronic Arts Inc,EA,1.5148%
Twitter Inc,TWTR,1.4058%
Match Group Inc,MTCH,1.2585%
Liberty Broadband Corp,LBRDA,1.2335%
Snap Inc,SNAP,1.0338%
Take-Two Interactive Software Inc,TTWO,0.9735%
Pinterest Inc,PINS,0.9578%
Roku Inc,ROKU,0.9138%
ViacomCBS Inc,VIAC,0.8373%
Discovery Inc,DISCK,0.7852%
Centurylink Inc,LUMN,0.6118%
Zynga Inc,ZNGA,0.5907%
Liberty Media Corp,FWONK,0.573%
Cable One Inc,CABO,0.5665%
Gci Liberty Inc,GLIBA,0.5437%
Omnicom Group Inc,OMC,0.5404%
Live Nation Entertainment Inc,LYV,0.5372%
Fox Corp,FOXA,0.5262%
Altice USA Inc,ATUS,0.5179%
Liberty Global PLC,LBTYK,0.4977%
DISH Network Corp,DISH,0.478%
News Corp,NWSA,0.4588%
Sirius XM Holdings Inc,SIRI,0.4498%
New York Times Co,NYT,0.4496%
Interpublic Group of Companies Inc,IPG,0.4388%
Liberty Media Corp,LSXMK,0.4107%
IAC/Interactivecorp,IAC,0.406%
Nexstar Media Group Inc,NXST,0.4052%
Fox Corp,FOX,0.3874%
Bandwidth Inc,BAND,0.371%
Iridium Communications Inc,IRDM,0.367%
Liberty Global PLC,LBTYA,0.3407%
Liberty Media Corp,LSXMA,0.3208%
Cogent Communications Holdings Inc,CCOI,0.3082%
Tegna Inc,TGNA,0.2911%
Madison Square Garden Sports Corp,MSGS,0.287%
Vonage Holdings Corp,VG,0.2836%
Shenandoah Telecommunications Co,SHEN,0.2531%
Tripadvisor Inc,TRIP,0.2312%
World Wrestling Entertainment Inc,WWE,0.2214%
Telephone and Data Systems Inc,TDS,0.2182%
CarGurus Inc,CARG,0.2163%
News Corp,NWS,0.2144%
Liberty Latin America Ltd,LILAK,0.1951%
Cardlytics Inc,CDLX,0.195%
Lions Gate Entertainment Corp,LGF.A,0.1854%
Comscore Inc,SCOR,0.1792%
Yelp Inc,YELP,0.1732%
John Wiley & Sons Inc,JW.A,0.1684%
Gray Television Inc,GTN,0.1472%
Cinemark Holdings Inc,CNK,0.1314%
Glu Mobile Inc,GLUU,0.1294%
Madison Square Garden Entertainment Corp,MSGE,0.1263%
TechTarget Inc,TTGT,0.1256%
Sinclair Broadcast Group Inc,SBGI,0.122%
iHeartMedia Inc,IHTM,0.1215%
AMC Networks Inc,AMCX,0.1158%
ANGI Homeservices Inc,ANGI,0.0918%
Quinstreet Inc,QNST,0.088%
Liberty Media Corp,BATRK,0.0831%
Cincinnati Bell Inc,CBB,0.0821%
E. W. Scripps Co,SSP,0.0744%
Scholastic Corp,SCHL,0.0742%
Imax Corp,IMAX,0.0727%
ATN International Inc,ATNI,0.0687%
Gogo Inc,GOGO,0.065%
Cars.com Inc,CARS,0.065%
Eventbrite Inc,EB,0.0643%
Meredith Corp,MDP,0.0602%
TrueCar Inc,TRUE,0.0572%
Boingo Wireless Inc,WIFI,0.0496%
Consolidated Communications Holdings Inc,CNSL,0.0494%
United States Cellular Corp,USM,0.048%
MSG Networks Inc,MSGN,0.0459%
Anterix Inc,ATEX,0.0448%
Clear Channel Outdoor Holdings Inc,CCO,0.0409%
EverQuote Inc,EVER,0.0317%
ORBCOMM Inc,ORBC,0.0317%
WideOpenWest Inc,WOW,0.0311%
AMC Entertainment Holdings Inc,AMC,0.0305%
Boston Omaha Corp,BOMN,0.0289%
Loral Space & Communications Inc,LORL,0.0262%
Entercom Communications Corp,ETM,0.0234%
Gannett Co Inc,GCI,0.02%
Liberty Media Corp,BATRA,0.0199%
National Cinemedia Inc,NCMI,0.0194%
Marcus Corp,MCS,0.0194%
Hemisphere Media Group Inc,HMTV,0.0185%
Tribune Publishing Co,TPCO,0.0177%
Liberty Tripadvisor Holdings Inc,LTRPA,0.0153%
Cash Component,CASH,0.0108%
Entravision Communications Corp,EVC,0.0102%
Emerald Holding Inc,EEX,0.006%
Reading International Inc,RDI,0.0059%
Warner Music Group Corp,WMG,0.0022%
