VTI: Vanguard Total Stock Market ETF
Inception Date: 2001-05-31
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	161857601
Shares Outstanding: 957228000
Expense Ratio: 0.03%
Tracks This Index: CRSP US Total Market Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VTI


Holding,Symbol,Weighting
Apple Inc,AAPL,5.3177%
Microsoft Corp,MSFT,4.7315%
Amazon.com Inc,AMZN,4.0547%
Facebook Inc,FB,1.9106%
Alphabet Inc,GOOG,1.373%
Berkshire Hathaway Inc,BRK.B,1.1985%
Alphabet Inc,GOOGL,1.1965%
Johnson & Johnson,JNJ,1.1524%
Procter & Gamble Co,PG,1.0082%
Visa Inc,V,0.9979%
NVIDIA Corp,NVDA,0.9543%
Tesla Inc,TSLA,0.9418%
Mastercard Inc,MA,0.9048%
Home Depot Inc,HD,0.8851%
UnitedHealth Group Inc,UNH,0.8796%
JPMorgan Chase & Co,JPM,0.8645%
Adobe Inc,ADBE,0.7235%
Verizon Communications Inc,VZ,0.7196%
PayPal Holdings Inc,PYPL,0.7017%
Walt Disney Co,DIS,0.6912%
Netflix Inc,NFLX,0.6596%
Intel Corp,INTC,0.6545%
Salesforce.Com Inc,CRM,0.6425%
Merck & Co Inc,MRK,0.6336%
Comcast Corp,CMCSA,0.6271%
Pfizer Inc,PFE,0.6142%
Walmart Inc,WMT,0.5937%
AT&T Inc,T,0.585%
Abbott Laboratories,ABT,0.568%
Coca-Cola Co,KO,0.5509%
PepsiCo Inc,PEP,0.55%
Bank of America Corp,BAC,0.5431%
Thermo Fisher Scientific Inc,TMO,0.5292%
Mcdonald's Corp,MCD,0.494%
Costco Wholesale Corp,COST,0.479%
Nike Inc,NKE,0.473%
Abbvie Inc,ABBV,0.4702%
Amgen Inc,AMGN,0.4464%
Exxon Mobil Corp,XOM,0.4385%
Cisco Systems Inc,CSCO,0.4364%
Broadcom Inc,AVGO,0.4309%
Bristol-Myers Squibb Co,BMY,0.4184%
Accenture PLC,ACN,0.4175%
Medtronic PLC,MDT,0.4172%
Nextera Energy Inc,NEE,0.4169%
Chevron Corp,CVX,0.4095%
Union Pacific Corp,UNP,0.4083%
Danaher Corp,DHR,0.4068%
Qualcomm Inc,QCOM,0.3978%
Eli Lilly and Co,LLY,0.3823%
Linde PLC,LIN,0.3733%
Lowe's Companies Inc,LOW,0.3714%
Texas Instruments Inc,TXN,0.3649%
Oracle Corp,ORCL,0.3584%
United Parcel Service Inc,UPS,0.3568%
Philip Morris International Inc,PM,0.3443%
Honeywell International Inc,HON,0.3386%
American Tower Corp,AMT,0.3266%
International Business Machines Corp,IBM,0.3161%
Starbucks Corp,SBUX,0.3039%
Advanced Micro Devices Inc,AMD,0.2931%
ServiceNow Inc,NOW,0.2799%
Fidelity National Information Services Inc,FIS,0.2781%
3M Co,MMM,0.2769%
Lockheed Martin Corp,LMT,0.2713%
Boeing Co,BA,0.2661%
Raytheon Technologies Corp,RTX,0.2603%
Charter Communications Inc,CHTR,0.2594%
Wells Fargo & Co,WFC,0.2559%
S&P Global Inc,SPGI,0.2555%
Citigroup Inc,C,0.2549%
Intuitive Surgical Inc,ISRG,0.25%
Zoom Video Communications Inc,ZM,0.245%
Intuit Inc,INTU,0.245%
Caterpillar Inc,CAT,0.2441%
Vertex Pharmaceuticals Inc,VRTX,0.243%
BlackRock Inc,BLK,0.2395%
Gilead Sciences Inc,GILD,0.2351%
Target Corp,TGT,0.2339%
Zoetis Inc,ZTS,0.2325%
CVS Health Corp,CVS,0.23%
Mondelez International Inc,MDLZ,0.2295%
Prologis Inc,PLD,0.2268%
Stryker Corp,SYK,0.2131%
Goldman Sachs Group Inc,GS,0.213%
Altria Group Inc,MO,0.2121%
Crown Castle International Corp,CCI,0.2097%
Booking Holdings Inc,BKNG,0.2078%
Equinix Inc,EQIX,0.2077%
T-Mobile US Inc,TMUS,0.2068%
Square Inc,SQ,0.2018%
Becton Dickinson and Co,BDX,0.1973%
Anthem Inc,ANTM,0.1951%
Deere & Co,DE,0.194%
Dominion Energy Inc,D,0.1916%
Activision Blizzard Inc,ATVI,0.1916%
Air Products and Chemicals Inc,APD,0.1912%
Fiserv Inc,FISV,0.1905%
Cigna Corp,CI,0.1895%
American Express Co,AXP,0.1838%
Sherwin-Williams Co,SHW,0.1836%
FedEx Corp,FDX,0.1829%
Colgate-Palmolive Co,CL,0.1817%
Norfolk Southern Corp,NSC,0.1812%
CME Group Inc,CME,0.1808%
Marsh & McLennan Companies Inc,MMC,0.1808%
Applied Materials Inc,AMAT,0.1806%
Micron Technology Inc,MU,0.1781%
TJX Companies Inc,TJX,0.1762%
CSX Corp,CSX,0.1753%
Regeneron Pharmaceuticals Inc,REGN,0.173%
Intercontinental Exchange Inc,ICE,0.1695%
Automatic Data Processing Inc,ADP,0.1692%
Morgan Stanley,MS,0.169%
Boston Scientific Corp,BSX,0.167%
Progressive Corp,PGR,0.1648%
General Electric Co,GE,0.1633%
Global Payments Inc,GPN,0.1617%
Duke Energy Corp,DUK,0.1604%
Autodesk Inc,ADSK,0.1598%
Southern Co,SO,0.1585%
Humana Inc,HUM,0.1567%
Ecolab Inc,ECL,0.1553%
Dollar General Corp,DG,0.155%
Truist Financial Corp,TFC,0.1545%
Northrop Grumman Corp,NOC,0.152%
Edwards Lifesciences Corp,EW,0.1519%
Lam Research Corp,LRCX,0.1498%
Newmont Corporation,NEM,0.147%
Aon PLC,AON,0.1468%
Kimberly-Clark Corp,KMB,0.1419%
Illinois Tool Works Inc,ITW,0.1385%
Analog Devices Inc,ADI,0.138%
Illumina Inc,ILMN,0.1373%
Moody's Corp,MCO,0.1369%
Biogen Inc,BIIB,0.1369%
Chubb Ltd,CB,0.1366%
Veeva Systems Inc,VEEV,0.1363%
Estee Lauder Companies Inc,EL,0.1308%
Roper Technologies Inc,ROP,0.1282%
Eaton Corporation PLC,ETN,0.1281%
Emerson Electric Co,EMR,0.1276%
Baxter International Inc,BAX,0.1258%
Waste Management Inc,WM,0.1241%
Uber Technologies Inc,UBER,0.1209%
Charles Schwab Corp,SCHW,0.1204%
DexCom Inc,DXCM,0.1189%
Workday Inc,WDAY,0.1188%
Digital Realty Trust Inc,DLR,0.1178%
U.S. Bancorp,USB,0.1175%
Dupont De Nemours Inc,DD,0.1175%
L3harris Technologies Inc,LHX,0.1175%
DocuSign Inc,DOCU,0.1159%
General Motors Co,GM,0.1135%
PNC Financial Services Group Inc,PNC,0.1132%
Lululemon Athletica Inc,LULU,0.1129%
Amphenol Corp,APH,0.1124%
Agilent Technologies Inc,A,0.1108%
TE Connectivity Ltd,TEL,0.1101%
SBA Communications Corp,SBAC,0.1095%
Blackstone Group Inc,BX,0.1094%
Electronic Arts Inc,EA,0.1092%
Twitter Inc,TWTR,0.1088%
eBay Inc,EBAY,0.1087%
General Mills Inc,GIS,0.1083%
Cognizant Technology Solutions Corp,CTSH,0.1081%
IDEXX Laboratories Inc,IDXX,0.107%
Synopsys Inc,SNPS,0.1067%
Sempra Energy,SRE,0.1065%
CoStar Group Inc,CSGP,0.1064%
Twilio Inc,TWLO,0.1059%
HCA Healthcare Inc,HCA,0.1059%
ConocoPhillips,COP,0.1058%
Capital One Financial Corp,COF,0.1054%
American Electric Power Company Inc,AEP,0.1049%
Chipotle Mexican Grill Inc,CMG,0.1045%
Exelon Corp,EXC,0.1032%
General Dynamics Corp,GD,0.1%
Johnson Controls International PLC,JCI,0.0998%
Cintas Corp,CTAS,0.0996%
Dow Inc,DOW,0.0983%
Monster Beverage Corp,MNST,0.0982%
Xcel Energy Inc,XEL,0.0978%
O'Reilly Automotive Inc,ORLY,0.0965%
Cadence Design Systems Inc,CDNS,0.0957%
Centene Corp,CNC,0.0955%
Ross Stores Inc,ROST,0.0948%
Allstate Corp,ALL,0.0923%
Sysco Corp,SYY,0.0912%
ANSYS Inc,ANSS,0.0907%
MSCI Inc,MSCI,0.0905%
KLA Corp,KLAC,0.0903%
Splunk Inc,SPLK,0.0897%
Constellation Brands Inc,STZ,0.0876%
Public Storage,PSA,0.0875%
WEC Energy Group Inc,WEC,0.0869%
Trane Technologies PLC,TT,0.086%
Liberty Broadband Corp,LBRDA,0.0858%
Match Group Inc,MTCH,0.0858%
MetLife Inc,MET,0.0857%
Cummins Inc,CMI,0.0856%
Travelers Companies Inc,TRV,0.0845%
T. Rowe Price Group Inc,TROW,0.0844%
Prudential Financial Inc,PRU,0.084%
Snap Inc,SNAP,0.0838%
Clorox Co,CLX,0.0834%
IHS Markit Ltd,INFO,0.0829%
Entergy Corp,ETR,0.0827%
Yum! Brands Inc,YUM,0.0826%
PPG Industries Inc,PPG,0.0826%
Waste Connections Inc,WCN,0.0826%
IQVIA Holdings Inc,IQV,0.0824%
Carrier Global Corp,CARR,0.0821%
Zimmer Biomet Holdings Inc,ZBH,0.0821%
Autozone Inc,AZO,0.082%
Ball Corp,BLL,0.0818%
Walgreens Boots Alliance Inc,WBA,0.0818%
Verisk Analytics Inc,VRSK,0.0818%
Kinder Morgan Inc,KMI,0.0817%
Eversource Energy,ES,0.0815%
D.R. Horton Inc,DHI,0.081%
Public Service Enterprise Group Inc,PEG,0.0804%
Marvell Technology Group Ltd,MRVL,0.0804%
Bank of New York Mellon Corp,BK,0.0797%
Paychex Inc,PAYX,0.0796%
Resmed Inc,RMD,0.0796%
Seattle Genetics Inc,SGEN,0.0791%
Willis Towers Watson PLC,WLTW,0.0788%
Palo Alto Networks Inc,PANW,0.0787%
Rockwell Automation Inc,ROK,0.0785%
Hilton Worldwide Holdings Inc,HLT,0.0784%
Otis Worldwide Corp,OTIS,0.0783%
Motorola Solutions Inc,MSI,0.0783%
Stanley Black & Decker Inc,SWK,0.0783%
Archer-Daniels-Midland Co,ADM,0.0775%
HP Inc,HPQ,0.0772%
