VTV: Vanguard Value ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	50578353
Shares Outstanding: 488161000
Expense Ratio: 0.04%
Tracks This Index: MSCI US Prime Market Value Index
ETFdb.com Category: Large Cap Blend Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VTV


Holding,Symbol,Weighting
Berkshire Hathaway Inc,BRK.B,3.2497%
Johnson & Johnson,JNJ,3.1112%
Procter & Gamble Co,PG,2.7449%
JPMorgan Chase & Co,JPM,2.3375%
UnitedHealth Group Inc,UNH,2.3249%
Verizon Communications Inc,VZ,1.9714%
Walt Disney Co,DIS,1.8203%
Intel Corp,INTC,1.751%
Comcast Corp,CMCSA,1.6926%
Merck & Co Inc,MRK,1.6663%
AT&T Inc,T,1.6214%
Pfizer Inc,PFE,1.6156%
Walmart Inc,WMT,1.5619%
PepsiCo Inc,PEP,1.525%
Coca-Cola Co,KO,1.5203%
Abbott Laboratories,ABT,1.4985%
Bank of America Corp,BAC,1.4903%
Abbvie Inc,ABBV,1.2345%
Cisco Systems Inc,CSCO,1.1928%
Amgen Inc,AMGN,1.1695%
Exxon Mobil Corp,XOM,1.1659%
Nextera Energy Inc,NEE,1.1149%
Medtronic PLC,MDT,1.1101%
Chevron Corp,CVX,1.0798%
Qualcomm Inc,QCOM,1.0649%
Eli Lilly and Co,LLY,1.0107%
Oracle Corp,ORCL,0.9528%
Philip Morris International Inc,PM,0.9299%
Honeywell International Inc,HON,0.9273%
International Business Machines Corp,IBM,0.8638%
3M Co,MMM,0.7404%
Wells Fargo & Co,WFC,0.7319%
Citigroup Inc,C,0.7108%
Raytheon Technologies Corp,RTX,0.7071%
Mondelez International Inc,MDLZ,0.6476%
Caterpillar Inc,CAT,0.6431%
BlackRock Inc,BLK,0.6426%
Target Corp,TGT,0.6301%
Gilead Sciences Inc,GILD,0.6257%
CVS Health Corp,CVS,0.6064%
Altria Group Inc,MO,0.5731%
Goldman Sachs Group Inc,GS,0.547%
Bristol-Myers Squibb Co,BMY,0.5434%
Danaher Corp,DHR,0.5377%
Dominion Energy Inc,D,0.5262%
Air Products and Chemicals Inc,APD,0.5219%
Anthem Inc,ANTM,0.5215%
Deere & Co,DE,0.5015%
Duke Energy Corp,DUK,0.4868%
Cigna Corp,CI,0.4821%
United Parcel Service Inc,UPS,0.4814%
CME Group Inc,CME,0.481%
FedEx Corp,FDX,0.4795%
CSX Corp,CSX,0.4763%
