VUG: Vanguard Growth ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	60166261
Shares Outstanding: 266058000
Expense Ratio: 0.04%
Tracks This Index: MSCI US Prime Market Growth Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VUG


Holding,Symbol,Weighting
Apple Inc,AAPL,10.7663%
Microsoft Corp,MSFT,9.616%
Amazon.com Inc,AMZN,8.2328%
Facebook Inc,FB,3.8573%
Alphabet Inc,GOOGL,2.6968%
Alphabet Inc,GOOG,2.547%
Visa Inc,V,2.0602%
Tesla Inc,TSLA,1.9124%
NVIDIA Corp,NVDA,1.8996%
Mastercard Inc,MA,1.8437%
Home Depot Inc,HD,1.7953%
Adobe Inc,ADBE,1.4368%
PayPal Holdings Inc,PYPL,1.4002%
Netflix Inc,NFLX,1.3355%
Salesforce.Com Inc,CRM,1.2999%
Thermo Fisher Scientific Inc,TMO,1.0525%
Mcdonald's Corp,MCD,0.998%
Nike Inc,NKE,0.9632%
Costco Wholesale Corp,COST,0.953%
Broadcom Inc,AVGO,0.8956%
Accenture PLC,ACN,0.8759%
Union Pacific Corp,UNP,0.8199%
Texas Instruments Inc,TXN,0.7934%
Linde PLC,LIN,0.7611%
Lowe's Companies Inc,LOW,0.752%
American Tower Corp,AMT,0.6541%
Starbucks Corp,SBUX,0.6075%
Advanced Micro Devices Inc,AMD,0.5887%
ServiceNow Inc,NOW,0.5697%
Fidelity National Information Services Inc,FIS,0.5659%
Lockheed Martin Corp,LMT,0.5638%
Charter Communications Inc,CHTR,0.5541%
Boeing Co,BA,0.5382%
S&P Global Inc,SPGI,0.5304%
Intuitive Surgical Inc,ISRG,0.5025%
Zoom Video Communications Inc,ZM,0.494%
Intuit Inc,INTU,0.4923%
Zoetis Inc,ZTS,0.4742%
Vertex Pharmaceuticals Inc,VRTX,0.4303%
Stryker Corp,SYK,0.4237%
Crown Castle International Corp,CCI,0.4211%
Equinix Inc,EQIX,0.4186%
Bristol-Myers Squibb Co,BMY,0.4143%
Booking Holdings Inc,BKNG,0.4143%
Danaher Corp,DHR,0.4143%
Colgate-Palmolive Co,CL,0.4004%
Becton Dickinson and Co,BDX,0.3987%
Activision Blizzard Inc,ATVI,0.3829%
Square Inc,SQ,0.3761%
United Parcel Service Inc,UPS,0.3666%
Fiserv Inc,FISV,0.361%
TJX Companies Inc,TJX,0.3583%
