VYM: Vanguard High Dividend Yield ETF
Inception Date: 2006-11-16
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	26210954
Shares Outstanding: 326413000
Expense Ratio: 0.06%
Tracks This Index: FTSE High Dividend Yield Index
ETFdb.com Category: Large Cap Blend Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VYM


Holding,Symbol,Weighting
Johnson & Johnson,JNJ,3.9705%
Procter & Gamble Co,PG,3.4256%
JPMorgan Chase & Co,JPM,2.9591%
Verizon Communications Inc,VZ,2.5142%
Intel Corp,INTC,2.221%
Comcast Corp,CMCSA,2.1426%
Merck & Co Inc,MRK,2.1174%
AT&T Inc,T,2.0667%
Pfizer Inc,PFE,2.0594%
Walmart Inc,WMT,1.9538%
PepsiCo Inc,PEP,1.9473%
Coca-Cola Co,KO,1.9373%
Bank of America Corp,BAC,1.8827%
Cisco Systems Inc,CSCO,1.6986%
Mcdonald's Corp,MCD,1.6667%
Abbvie Inc,ABBV,1.5669%
Amgen Inc,AMGN,1.4966%
Exxon Mobil Corp,XOM,1.4856%
Broadcom Inc,AVGO,1.4516%
Nextera Energy Inc,NEE,1.4244%
Bristol-Myers Squibb Co,BMY,1.3875%
Chevron Corp,CVX,1.3753%
Qualcomm Inc,QCOM,1.3507%
Texas Instruments Inc,TXN,1.3322%
Linde PLC,LIN,1.272%
Eli Lilly and Co,LLY,1.2604%
United Parcel Service Inc,UPS,1.2171%
Philip Morris International Inc,PM,1.185%
International Business Machines Corp,IBM,1.1025%
Lockheed Martin Corp,LMT,0.9876%
3M Co,MMM,0.9155%
Citigroup Inc,C,0.9044%
Wells Fargo & Co,WFC,0.8945%
Raytheon Technologies Corp,RTX,0.8407%
BlackRock Inc,BLK,0.8291%
Caterpillar Inc,CAT,0.8151%
Target Corp,TGT,0.8052%
Gilead Sciences Inc,GILD,0.7981%
CVS Health Corp,CVS,0.771%
Altria Group Inc,MO,0.7299%
Dominion Energy Inc,D,0.6673%
Air Products and Chemicals Inc,APD,0.6587%
Colgate-Palmolive Co,CL,0.6568%
Illinois Tool Works Inc,ITW,0.6264%
Duke Energy Corp,DUK,0.6199%
CME Group Inc,CME,0.6041%
Automatic Data Processing Inc,ADP,0.6029%
Southern Co,SO,0.5805%
Progressive Corp,PGR,0.5628%
Morgan Stanley,MS,0.5342%
Chubb Ltd,CB,0.524%
Truist Financial Corp,TFC,0.5107%
Kimberly-Clark Corp,KMB,0.5103%
Waste Management Inc,WM,0.4915%
U.S. Bancorp,USB,0.4906%
PNC Financial Services Group Inc,PNC,0.4634%
Dupont De Nemours Inc,DD,0.4151%
Eaton Corporation PLC,ETN,0.4133%
American Electric Power Company Inc,AEP,0.4114%
Emerson Electric Co,EMR,0.396%
General Mills Inc,GIS,0.3727%
Xcel Energy Inc,XEL,0.3693%
General Dynamics Corp,GD,0.3589%
ConocoPhillips,COP,0.3573%
Dow Inc,DOW,0.3526%
Exelon Corp,EXC,0.3519%
Sempra Energy,SRE,0.3472%
Cummins Inc,CMI,0.3182%
WEC Energy Group Inc,WEC,0.313%
Johnson Controls International PLC,JCI,0.3122%
KLA Corp,KLAC,0.3082%
Sysco Corp,SYY,0.3047%
Paccar Inc,PCAR,0.3004%
T. Rowe Price Group Inc,TROW,0.2921%
Eversource Energy,ES,0.2895%
MetLife Inc,MET,0.2894%
Public Service Enterprise Group Inc,PEG,0.2839%
Travelers Companies Inc,TRV,0.2783%
HP Inc,HPQ,0.2771%
Bank of New York Mellon Corp,BK,0.2767%
Clorox Co,CLX,0.2725%
Fastenal Co,FAST,0.2665%
Consolidated Edison Inc,ED,0.2646%
Walgreens Boots Alliance Inc,WBA,0.2626%
Aflac Inc,AFL,0.262%
Archer-Daniels-Midland Co,ADM,0.2611%
Paychex Inc,PAYX,0.2603%
Best Buy Co Inc,BBY,0.2577%
Prudential Financial Inc,PRU,0.2546%
Williams Companies Inc,WMB,0.2523%
Kinder Morgan Inc,KMI,0.2475%
Corning Inc,GLW,0.2453%
American International Group Inc,AIG,0.2406%
Phillips 66,PSX,0.234%
VF Corp,VFC,0.229%
DTE Energy Co,DTE,0.2222%
Schlumberger NV,SLB,0.2215%
Corteva Inc,CTVA,0.2193%
State Street Corp,STT,0.2148%
PPL Corp,PPL,0.2116%
Hershey Co,HSY,0.211%
Arthur J Gallagher & Co,AJG,0.2035%
Ameren Corp,AEE,0.2008%
Kraft Heinz Co,KHC,0.196%
Entergy Corp,ETR,0.1956%
Marathon Petroleum Corp,MPC,0.195%
Ameriprise Financial Inc,AMP,0.1873%
LyondellBasell Industries NV,LYB,0.1855%
Edison International,EIX,0.1855%
Maxim Integrated Products Inc,MXIM,0.1825%
Valero Energy Corp,VLO,0.1816%
CMS Energy Corp,CMS,0.1796%
Conagra Brands Inc,CAG,0.1767%
Discover Financial Services,DFS,0.1746%
Tyson Foods Inc,TSN,0.1733%
Kellogg Co,K,0.1643%
International Paper Co,IP,0.1625%
ViacomCBS Inc,VIAC,0.1601%
FirstEnergy Corp,FE,0.1581%
Fifth Third Bancorp,FITB,0.1527%
Synchrony Financial,SYF,0.1527%
Northern Trust Corp,NTRS,0.1505%
Garmin Ltd,GRMN,0.1467%
Cardinal Health Inc,CAH,0.1401%
CH Robinson Worldwide Inc,CHRW,0.1395%
Nucor Corp,NUE,0.1382%
Genuine Parts Co,GPC,0.1369%
Hartford Financial Services Group Inc,HIG,0.1328%
Seagate Technology PLC,STX,0.1322%
Alliant Energy Corp,LNT,0.1298%
J M Smucker Co,SJM,0.1295%
Celanese Corp,CE,0.1278%
Hewlett Packard Enterprise Co,HPE,0.1238%
AES Corp,AES,0.1219%
Cincinnati Financial Corp,CINF,0.1203%
ONEOK Inc,OKE,0.1196%
Atmos Energy Corp,ATO,0.1184%
M&T Bank Corp,MTB,0.118%
KeyCorp,KEY,0.1173%
Whirlpool Corp,WHR,0.117%
Evergy Inc,EVRG,0.1149%
Centurylink Inc,LUMN,0.114%
Principal Financial Group Inc,PFG,0.1118%
Regions Financial Corp,RF,0.1116%
Halliburton Co,HAL,0.1082%
Eastman Chemical Co,EMN,0.1076%
Citizens Financial Group Inc,CFG,0.1074%
Omnicom Group Inc,OMC,0.1071%
RPM International Inc,RPM,0.1066%
Hasbro Inc,HAS,0.1052%
Packaging Corp of America,PKG,0.1029%
TD Ameritrade Holding Corp,AMTD,0.1023%
Essential Utilities Inc,WTRG,0.0991%
NetApp Inc,NTAP,0.0986%
Credicorp Ltd,BAP,0.0982%
CenterPoint Energy Inc,CNP,0.0975%
Ally Financial Inc,ALLY,0.0938%
Huntington Bancshares Inc,HBAN,0.0933%
Vistra Corp,VST,0.0923%
Western Union Co,WU,0.0911%
