WCLD: WisdomTree Cloud Computing Fund
Inception Date: 2019-09-06
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	798268
Shares Outstanding: 18675000
Expense Ratio: 0.45%
Tracks This Index: BVP Nasdaq Emerging Cloud Index
ETFdb.com Category: All Cap Equities
Issuer: WisdomTree
Structure: ETF
ETF Home Page: https://etfdb.com/etf/WCLD


Holding,Symbol,Weighting
Zoom Video Communications Inc,ZM,2.9185%
Anaplan Inc,PLAN,2.2763%
CrowdStrike Holdings Inc,CRWD,2.2456%
Salesforce.Com Inc,CRM,2.1535%
Paylocity Holding Corp,PCTY,2.1419%
Blackline Inc,BL,2.1386%
Sprout Social Inc,SPT,2.1158%
Zendesk Inc,ZEN,2.0958%
Workday Inc,WDAY,2.0867%
Fastly Inc,FSLY,2.0098%
Atlassian Corporation PLC,TEAM,1.9794%
Elastic NV,ESTC,1.9793%
Datadog Inc,DDOG,1.9654%
ServiceNow Inc,NOW,1.9636%
Tenable Holdings Inc,TENB,1.9533%
Square Inc,SQ,1.9432%
Avalara Inc,AVLR,1.9186%
Smartsheet Inc,SMAR,1.8907%
Domo Inc,DOMO,1.8811%
Zscaler Inc,ZS,1.88%
HubSpot Inc,HUBS,1.8783%
Adobe Inc,ADBE,1.8774%
Paycom Software Inc,PAYC,1.8765%
Veeva Systems Inc,VEEV,1.8669%
Bill.com Holdings Inc,BILL,1.8642%
Okta Inc,OKTA,1.8586%
Five9 Inc,FIVN,1.8432%
Cloudflare Inc,NET,1.842%
Shopify Inc,SHOP,1.8237%
Workiva Inc,WK,1.8166%
DocuSign Inc,DOCU,1.8132%
PayPal Holdings Inc,PYPL,1.8019%
Mimecast Ltd,MIME,1.7856%
SVMK Inc,SVMK,1.7747%
Twilio Inc,TWLO,1.7694%
Box Inc,BOX,1.744%
New Relic Inc,NEWR,1.7327%
RealPage Inc,RP,1.7115%
Proofpoint Inc,PFPT,1.6977%
Dropbox Inc,DBX,1.6971%
Qualys Inc,QLYS,1.6939%
PagerDuty Inc,PD,1.6839%
Q2 Holdings Inc,QTWO,1.681%
Slack Technologies Inc,WORK,1.6758%
Everbridge Inc,EVBG,1.6545%
RingCentral Inc,RNG,1.6469%
Coupa Software Inc,COUP,1.6434%
Wix.Com Ltd,WIX,1.6019%
Zuora Inc,ZUO,1.5998%
2U Inc,TWOU,1.5887%
Yext Inc,YEXT,1.5704%
Medallia Inc,MDLA,1.5607%
Appfolio Inc,APPF,1.4947%
Pluralsight Inc,PS,1.4625%
Cash Component,CASH,-0.1705%
