XLK: Technology Select Sector SPDR Fund
Inception Date: 1998-12-16
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	33742935
Shares Outstanding: 291606000
Expense Ratio: 0.13%
Tracks This Index: Technology Select Sector Index
ETFdb.com Category: Technology Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XLK


Holding,Symbol,Weighting
Apple Inc,AAPL,23.5902%
Microsoft Corp,MSFT,20.1718%
Visa Inc,V,4.3261%
NVIDIA Corp,NVDA,4.197%
Mastercard Inc,MA,3.8181%
Adobe Inc,ADBE,3.0194%
PayPal Holdings Inc,PYPL,2.9348%
Salesforce.Com Inc,CRM,2.8955%
Intel Corp,INTC,2.8003%
Cisco Systems Inc,CSCO,2.1266%
Broadcom Inc,AVGO,1.8825%
Accenture PLC,ACN,1.8319%
Qualcomm Inc,QCOM,1.7042%
Texas Instruments Inc,TXN,1.668%
Oracle Corp,ORCL,1.4791%
International Business Machines Corp,IBM,1.3859%
Advanced Micro Devices Inc,AMD,1.2352%
ServiceNow Inc,NOW,1.2061%
Fidelity National Information Services Inc,FIS,1.1856%
Intuit Inc,INTU,1.0908%
Automatic Data Processing Inc,ADP,0.7607%
Fiserv Inc,FISV,0.7412%
Micron Technology Inc,MU,0.7248%
Applied Materials Inc,AMAT,0.7011%
Global Payments Inc,GPN,0.6841%
Autodesk Inc,ADSK,0.6562%
Lam Research Corp,LRCX,0.6304%
Analog Devices Inc,ADI,0.5544%
Cognizant Technology Solutions Corp,CTSH,0.4818%
Amphenol Corp,APH,0.4168%
Synopsys Inc,SNPS,0.4147%
TE Connectivity Ltd,TEL,0.4143%
KLA Corp,KLAC,0.3876%
Cadence Design Systems Inc,CDNS,0.3785%
ANSYS Inc,ANSS,0.3534%
Motorola Solutions Inc,MSI,0.3433%
HP Inc,HPQ,0.3342%
Microchip Technology Inc,MCHP,0.3338%
Xilinx Inc,XLNX,0.326%
Paychex Inc,PAYX,0.3257%
Corning Inc,GLW,0.3128%
Skyworks Solutions Inc,SWKS,0.3094%
Verisign Inc,VRSN,0.2656%
Fleetcor Technologies Inc,FLT,0.2622%
Keysight Technologies Inc,KEYS,0.2393%
Maxim Integrated Products Inc,MXIM,0.2333%
Akamai Technologies Inc,AKAM,0.2326%
Citrix Systems Inc,CTXS,0.2178%
CDW Corp,CDW,0.2164%
Fortinet Inc,FTNT,0.2024%
Broadridge Financial Solutions Inc,BR,0.1958%
Qorvo Inc,QRVO,0.1921%
Paycom Software Inc,PAYC,0.189%
Tyler Technologies Inc,TYL,0.1797%
Zebra Technologies Corp,ZBRA,0.179%
Teradyne Inc,TER,0.1712%
Jack Henry & Associates Inc,JKHY,0.1597%
NortonLifeLock Inc,NLOK,0.1586%
Hewlett Packard Enterprise Co,HPE,0.1552%
Leidos Holdings Inc,LDOS,0.155%
Western Digital Corp,WDC,0.1529%
Arista Networks Inc,ANET,0.1491%
Seagate Technology PLC,STX,0.1437%
Gartner Inc,IT,0.1429%
NetApp Inc,NTAP,0.1255%
Western Union Co,WU,0.1152%
F5 Networks Inc,FFIV,0.0986%
Juniper Networks Inc,JNPR,0.0933%
IPG Photonics Corp,IPGP,0.0785%
FLIR Systems Inc,FLIR,0.0603%
DXC Technology Co,DXC,0.0578%
Xerox Holdings Corp,XRX,0.0424%
Cash Component,CASH,0.0007%
