,Holding,Symbol,Weighting,Fund
0,Apple Inc,AAPL,6.8741%,DGRW
1,Microsoft Corp,MSFT,5.5614%,DGRW
2,Verizon Communications Inc,VZ,5.3443%,DGRW
3,Procter & Gamble Co,PG,4.4253%,DGRW
4,Merck & Co Inc,MRK,3.1033%,DGRW
5,PepsiCo Inc,PEP,2.8774%,DGRW
6,Altria Group Inc,MO,2.6091%,DGRW
7,UnitedHealth Group Inc,UNH,2.3618%,DGRW
8,Comcast Corp,CMCSA,2.1995%,DGRW
9,Bristol-Myers Squibb Co,BMY,2.1503%,DGRW
10,United Parcel Service Inc,UPS,2.0757%,DGRW
11,Intel Corp,INTC,1.9917%,DGRW
12,Amgen Inc,AMGN,1.9685%,DGRW
13,3M Co,MMM,1.7023%,DGRW
14,Gilead Sciences Inc,GILD,1.6385%,DGRW
15,Union Pacific Corp,UNP,1.6278%,DGRW
16,Eli Lilly and Co,LLY,1.6174%,DGRW
17,Nextera Energy Inc,NEE,1.5884%,DGRW
18,Qualcomm Inc,QCOM,1.5605%,DGRW
19,Texas Instruments Inc,TXN,1.5417%,DGRW
20,Oracle Corp,ORCL,1.4096%,DGRW
21,Honeywell International Inc,HON,1.2975%,DGRW
22,Lowe's Companies Inc,LOW,1.2666%,DGRW
23,Caterpillar Inc,CAT,1.2585%,DGRW
24,Visa Inc,V,0.9162%,DGRW
25,Target Corp,TGT,0.8933%,DGRW
26,Raytheon Technologies Corp,RTX,0.8922%,DGRW
27,Nike Inc,NKE,0.8527%,DGRW
28,Illinois Tool Works Inc,ITW,0.8102%,DGRW
29,General Mills Inc,GIS,0.7447%,DGRW
30,Costco Wholesale Corp,COST,0.7445%,DGRW
31,Mastercard Inc,MA,0.7382%,DGRW
32,Air Products and Chemicals Inc,APD,0.7049%,DGRW
33,Blackstone Group Inc,BX,0.6922%,DGRW
34,Deere & Co,DE,0.6624%,DGRW
35,Norfolk Southern Corp,NSC,0.6054%,DGRW
36,American Express Co,AXP,0.6041%,DGRW
37,FedEx Corp,FDX,0.5668%,DGRW
38,Emerson Electric Co,EMR,0.5643%,DGRW
39,Automatic Data Processing Inc,ADP,0.5256%,DGRW
40,Marsh & McLennan Companies Inc,MMC,0.524%,DGRW
41,Cummins Inc,CMI,0.5107%,DGRW
42,General Dynamics Corp,GD,0.5013%,DGRW
43,Waste Management Inc,WM,0.4749%,DGRW
44,CME Group Inc,CME,0.4728%,DGRW
45,Stryker Corp,SYK,0.4661%,DGRW
46,Northrop Grumman Corp,NOC,0.4629%,DGRW
47,CSX Corp,CSX,0.4354%,DGRW
48,Keurig Dr Pepper Inc,KDP,0.431%,DGRW
49,Anthem Inc,ANTM,0.4014%,DGRW
50,T. Rowe Price Group Inc,TROW,0.3991%,DGRW
51,Clorox Co,CLX,0.3935%,DGRW
52,S&P Global Inc,SPGI,0.3919%,DGRW
53,NVIDIA Corp,NVDA,0.3871%,DGRW
54,Marathon Petroleum Corp,MPC,0.3793%,DGRW
55,Danaher Corp,DHR,0.3775%,DGRW
56,Fidelity National Information Services Inc,FIS,0.3751%,DGRW
57,eBay Inc,EBAY,0.3746%,DGRW
58,Valero Energy Corp,VLO,0.3706%,DGRW
59,Best Buy Co Inc,BBY,0.367%,DGRW
60,Sysco Corp,SYY,0.3606%,DGRW
61,Travelers Companies Inc,TRV,0.3582%,DGRW
62,Paychex Inc,PAYX,0.3347%,DGRW
63,Fastenal Co,FAST,0.3336%,DGRW
64,Kroger Co,KR,0.3309%,DGRW
65,Lam Research Corp,LRCX,0.3295%,DGRW
66,Analog Devices Inc,ADI,0.3177%,DGRW
