Symbol,Name,Industry,Marketcap
ZUO,Zuora Inc,Software & IT Services,1299017972
ZTS,Zoetis Inc,Pharmaceuticals,77709917135
ZTO,ZTO Express (Cayman) Inc,Freight & Logistics Services,54652694329
ZS,Zscaler Inc,Software & IT Services,20580494911
ZOT,Zardoya Otis SA,"Machinery, Equipment & Components",2451119078
ZNGA,Zynga Inc,Software & IT Services,9851011915
ZM,Zoom Video Communications Inc,Software & IT Services,158991283100
ZLAB,Zai Lab Ltd,Pharmaceuticals,7727736448
ZION,Zions Bancorporation NA,Banking Services,5106358897
ZI,ZoomInfo Technologies Inc,Software & IT Services,16593702337
ZGNX,Zogenix Inc,Biotechnology & Medical Research,1131139178
ZG,Zillow Group Inc,Real Estate Operations,22148970108
ZEN,Zendesk Inc,Software & IT Services,12954260367
ZBRA,Zebra Technologies Corp,Electronic Equipment & Parts,15628620000
ZBH,Zimmer Biomet Holdings Inc,Healthcare Equipment & Supplies,30421854983
ZAL,Zalando SE,Specialty Retailers,21711515222
Z,Zee Entertainment Enterprises Ltd,Real Estate Operations,22148970108
Z,Zillow Group Inc,Real Estate Operations,22148970108
YY,JOYY Inc,Software & IT Services,6465870192
YUMC,Yum China Holdings Inc,Hotels & Entertainment Services,22750017445
YUM,Yum! Brands Inc,Hotels & Entertainment Services,29696941632
YTL,YTL Corporation Bhd,NA,NA
YPF,YPF SA,Oil & Gas,238709416681
YORW,York Water Co,Water Utilities,589573044
YNDX,Yandex NV,Software & IT Services,20434771947
YMAB,"Y-mAbs Therapeutics, Inc",Biotechnology & Medical Research,1614605188
YKBNK,Yapi ve Kredi Bankasi AS,NA,18667983659
YEXT,Yext Inc,Software & IT Services,2123095250
YETI,Yeti Holdings Inc,Leisure Products,4529792779
YELP,Yelp Inc,Software & IT Services,1465567551
YAR,Yara International ASA,Chemicals,7595500000
Y,Alleghany Corp,Insurance,7834102629
XYL,Xylem Inc,"Machinery, Equipment & Components",16469847075
XRX,Xerox Holdings Corp,Office Equipment,4277311063
XRO,Xero Ltd,Software & IT Services,16362821644
XRAY,DENTSPLY SIRONA Inc,Healthcare Equipment & Supplies,9980897346
XPO,XPO Logistics Inc,Freight & Logistics Services,8768173931
XPEV,Xpeng Inc,Automobiles & Auto Parts,15994475938
XPER,Xperi Holding Corp,Semiconductors & Semiconductor Equipment,1351548664
XOM,Exxon Mobil Corp,Oil & Gas,144182704748
XNCR,Xencor Inc,Biotechnology & Medical Research,2341234288
XLRN,Acceleron Pharma Inc,Biotechnology & Medical Research,6996549734
XLNX,Xilinx Inc,Semiconductors & Semiconductor Equipment,28833937459
XHR,Xenia Hotels & Resorts Inc,Residential & Commercial REIT,983773106
XEL,Xcel Energy Inc,Electrical Utilities & IPPs,38418259017
XEC,Cimarex Energy Co,Oil & Gas,2607333987
X,United States Steel Corp,Metals & Mining,1974791176
